month,nltk,spacy,stanford-nlp,python,r,numpy,scipy,matlab,machine-learning,pandas,pytorch,keras,nlp,apache-spark,hadoop,pyspark,python-3.x,tensorflow,deep-learning,neural-network,lstm,time-series,pillow,rasa,opencv,pipenv,seaborn,Dask,jupyter,AllenNLP,Theano,plotly,scikit-learn,BeautifulSoup,scrapy,Gensim,FastText,Pydot,Pybrain,Pytil,Pygame,Colab,Shogun,KNIME,Apache,Gunicorn,Pygtk,Weka,Conda,Ray,matlab,accord.net,regression,classification,correlation,cluster-analysis,H2o,Mallet,Numba,Tableau,Trifacta,PyArrow,Rasterio,Orange3,PyMC3,Opennn,Oryx,Istio,Venes,Plotnine,Gluon,Plato,Sympy,Flair,stanford-nlp,pyqt,Nolearn,Lasagne,OCR,Apache-spark-mlib,azure-virtual-machine
09-Jan,0,0,0,631,8,6,2,19,8,0,0,0,8,0,1,0,4,0,0,4,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,95,0,3,0,0,0,19,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,0,0
09-Feb,1,0,0,633,9,7,3,27,4,0,0,0,9,0,1,0,12,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,114,0,7,0,0,0,27,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0
09-Mar,0,0,0,766,4,4,2,24,3,0,0,0,12,0,1,0,4,0,0,11,0,1,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,104,0,6,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0
09-Apr,0,0,0,768,12,6,3,32,10,0,0,0,14,0,6,0,10,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,0,0,0,111,0,3,0,0,0,32,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0
09-May,1,0,0,1003,2,7,2,42,7,0,0,0,9,0,3,0,19,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,127,0,5,0,0,0,42,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0
09-Jun,0,0,0,1046,5,13,2,44,8,0,0,0,13,0,4,0,13,0,0,5,0,2,0,0,9,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,157,0,11,0,0,0,44,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,4,0,0
09-Jul,1,0,1,1165,51,6,7,39,6,0,0,0,16,0,8,0,13,0,0,1,0,5,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,188,0,12,0,0,0,39,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,6,0,0
09-Aug,2,0,0,1143,47,10,5,34,8,0,0,0,19,0,7,0,16,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,168,0,21,1,0,0,34,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,5,0,0
09-Sep,0,0,0,1169,139,8,2,51,2,0,0,0,12,0,11,0,17,0,0,5,0,5,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,167,0,12,0,0,0,51,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0
09-Oct,2,0,0,1424,73,27,9,71,11,0,0,0,11,0,6,0,25,0,0,13,0,6,0,0,32,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,209,0,5,0,0,0,71,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0
09-Nov,7,0,2,1562,94,39,10,117,18,0,0,0,20,0,8,0,15,0,0,14,0,2,0,0,22,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,5,0,0,0,182,0,9,1,0,0,117,0,2,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,30,0,0,11,0,0
09-Dec,2,0,4,1552,80,26,4,99,11,0,0,0,17,0,14,0,21,0,0,15,0,4,0,0,26,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,179,0,10,1,0,0,99,0,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,21,0,0,9,0,0
10-Jan,5,0,3,1952,94,21,15,99,22,0,0,0,22,0,20,0,11,0,0,16,0,4,0,0,31,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,10,0,0,0,219,0,24,1,0,0,99,0,3,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,25,0,0,5,0,0
10-Feb,4,0,0,1872,122,40,11,111,19,0,0,0,28,0,9,0,28,0,0,10,0,2,0,0,37,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,4,0,0,0,224,0,26,2,0,0,111,0,1,8,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,5,0,0
10-Mar,3,0,1,2076,140,39,16,123,30,0,0,0,20,0,30,0,46,0,0,12,0,5,0,0,36,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,7,0,0,0,293,0,15,2,0,0,123,0,3,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,20,0,0,11,0,1
10-Apr,3,0,3,1817,160,42,17,187,27,0,0,0,31,0,17,0,23,0,1,15,0,3,0,0,33,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,10,0,0,0,240,0,21,2,0,0,187,0,1,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,18,0,0
10-May,7,0,0,2017,139,31,17,207,35,0,0,0,35,0,23,0,31,0,1,18,0,3,0,0,30,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,11,0,0,0,226,0,17,7,0,0,207,0,4,10,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13,0,0
10-Jun,4,0,1,2214,178,43,24,146,28,0,0,0,18,0,34,0,25,0,0,12,0,5,0,0,48,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,5,0,0,0,321,0,28,1,0,0,146,0,3,7,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,29,0,0,10,0,0
10-Jul,3,0,4,2607,235,36,15,152,23,0,0,0,22,0,39,0,34,0,1,4,0,7,0,0,73,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,10,0,0,0,311,0,17,2,0,0,152,0,2,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,28,0,0,7,0,0
10-Aug,11,0,0,2498,283,49,13,140,22,0,0,0,23,0,35,0,43,0,0,12,0,12,0,0,37,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,5,0,0,0,347,0,40,6,0,0,140,0,3,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,8,0,0
10-Sep,7,0,7,2254,236,42,16,165,22,0,0,0,33,0,25,0,40,0,0,15,0,9,0,0,57,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,5,0,0,0,286,0,15,4,0,0,165,0,4,11,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,0,0,8,0,0
10-Oct,4,0,2,2671,214,51,17,163,23,0,0,0,39,0,20,0,34,0,0,9,0,10,0,0,57,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,13,0,0,0,300,0,37,2,0,0,163,0,8,9,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,29,0,0,9,0,0
10-Nov,6,0,2,2619,244,66,21,156,34,0,0,0,36,0,34,0,47,0,1,16,0,8,1,0,70,0,0,0,0,0,0,0,0,16,5,1,0,0,0,0,14,0,0,1,337,0,26,4,0,0,156,0,3,5,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,41,0,0,14,0,0
10-Dec,5,0,2,2441,221,62,19,173,17,0,0,0,37,0,34,0,41,0,0,10,0,12,0,0,76,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,18,0,0,0,354,0,35,4,0,0,173,0,6,9,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,24,0,0,18,0,0
11-Jan,5,0,6,2913,251,51,17,177,27,0,0,0,44,0,67,0,64,0,0,28,0,11,0,0,97,0,0,0,0,0,0,0,1,17,4,0,0,2,0,0,10,0,0,0,411,0,25,1,0,0,177,0,4,7,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,45,0,0,24,0,0
11-Feb,22,0,3,3024,322,62,24,292,28,0,0,0,38,0,61,0,66,0,0,20,0,19,0,0,104,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,14,0,0,0,408,0,31,15,0,0,292,0,8,25,7,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,32,0,0,25,0,0
11-Mar,15,0,8,3763,423,116,36,431,41,1,0,0,44,0,76,0,85,0,0,21,0,12,0,0,159,0,0,0,0,0,0,0,0,28,18,1,0,0,0,0,12,0,0,1,476,2,35,16,0,0,431,0,2,17,7,20,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,8,45,0,0,24,0,0
11-Apr,21,0,3,3359,476,101,22,382,44,2,0,0,47,0,69,0,63,0,1,30,0,12,0,0,158,0,0,0,0,0,0,0,1,32,6,0,0,1,2,0,17,0,0,1,451,2,39,7,0,0,382,0,9,8,6,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,0,0,21,0,0
11-May,6,0,6,3538,428,93,23,306,26,0,0,0,46,0,60,0,71,0,1,30,0,8,0,0,138,0,0,0,0,0,0,0,0,22,12,0,0,2,1,0,22,0,0,1,433,2,45,15,0,0,306,0,3,16,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,71,0,0,24,0,0
11-Jun,12,0,4,3485,444,83,36,313,37,1,0,0,28,0,91,0,69,0,0,13,0,13,0,0,140,0,0,0,0,0,0,0,0,27,17,2,0,2,0,0,39,0,1,0,481,8,30,6,0,0,313,0,6,6,13,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,60,0,0,11,0,0
11-Jul,22,0,8,3688,454,95,25,286,45,0,0,0,42,0,81,0,74,0,1,15,0,13,0,0,176,0,0,0,0,0,0,0,1,26,19,1,0,1,0,0,23,0,0,1,466,3,41,12,0,0,286,0,10,16,7,21,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,8,43,0,0,31,0,0
11-Aug,8,0,1,3849,587,124,41,258,33,0,0,0,33,0,89,0,98,0,0,20,0,19,0,0,189,0,0,0,0,0,0,0,0,29,10,0,0,2,0,0,15,0,1,0,511,3,34,13,0,0,258,0,4,14,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,54,0,0,22,0,1
11-Sep,13,0,3,3526,613,120,25,267,54,1,0,0,41,0,101,0,87,0,0,24,0,17,0,0,201,0,0,0,0,0,0,0,1,25,8,0,0,0,0,0,21,0,0,0,477,3,48,8,0,0,267,0,10,8,10,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,44,0,0,12,0,0
11-Oct,14,0,7,3639,623,139,46,401,59,4,0,0,54,0,106,0,80,0,0,14,0,11,0,0,240,0,0,0,0,0,0,0,0,23,11,0,0,0,1,0,25,0,0,0,467,6,40,10,0,0,401,0,9,13,13,32,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,62,0,0,17,0,0
11-Nov,18,0,4,3889,609,107,44,433,54,2,0,0,50,1,116,0,119,0,1,27,0,22,0,0,273,0,0,0,0,0,0,0,4,33,20,0,0,0,4,0,24,0,0,0,531,2,23,8,0,0,433,0,9,27,10,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,66,0,0,31,0,0
11-Dec,16,0,0,3555,608,106,36,388,60,1,0,0,42,0,142,0,110,0,0,21,0,17,0,0,215,0,0,0,0,0,0,0,2,28,24,0,0,0,1,0,32,0,1,0,490,4,30,9,0,0,388,0,11,15,4,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,78,0,0,16,0,0
12-Jan,11,0,3,4232,691,145,54,461,71,6,0,0,46,0,147,0,122,0,0,41,0,24,1,0,288,0,0,0,0,0,0,0,1,49,31,0,0,0,2,0,43,0,0,0,642,10,39,16,0,0,461,0,7,25,10,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,3,97,0,0,23,0,0
12-Feb,19,0,5,4517,815,148,64,558,62,4,0,0,39,0,166,0,150,0,0,32,0,23,0,0,339,0,0,0,0,0,0,0,5,23,22,1,0,0,2,0,32,0,0,0,654,5,25,13,0,0,558,0,26,25,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,75,0,0,35,0,1
12-Mar,18,0,9,5073,892,167,66,579,63,29,0,0,47,0,177,0,140,0,2,48,0,18,0,0,328,0,0,0,1,0,0,0,5,44,29,0,0,0,2,0,37,0,0,2,676,5,28,32,0,0,579,0,6,24,11,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,52,0,0,28,0,0
12-Apr,24,0,7,4948,849,156,46,624,85,26,0,0,73,0,209,0,155,0,0,38,0,21,1,0,323,0,0,0,1,0,1,0,7,50,15,1,0,0,6,0,61,0,1,0,616,2,15,25,0,0,624,1,16,40,14,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,7,46,0,0,31,0,0
12-May,25,0,11,5133,882,171,54,542,90,44,0,0,68,0,215,0,171,0,2,36,0,42,1,0,355,0,0,0,2,0,0,0,6,55,39,1,0,0,1,0,48,0,1,0,699,14,21,32,0,0,542,0,11,26,9,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,11,71,0,0,31,0,0
12-Jun,20,0,16,5295,975,177,59,525,83,50,0,0,48,0,272,0,156,0,0,20,0,27,0,0,398,0,0,0,1,0,0,0,15,36,54,0,0,2,1,0,45,0,0,0,658,12,39,27,0,0,525,0,16,27,7,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,76,0,0,31,0,1
12-Jul,18,0,10,5751,1125,205,71,561,90,66,0,0,62,0,296,0,159,0,0,35,0,39,0,0,482,0,0,0,0,0,0,0,9,67,61,1,0,0,5,0,42,0,0,1,702,11,38,26,0,0,561,1,23,31,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,78,0,0,42,0,7
12-Aug,17,0,9,5882,1093,223,76,599,123,88,0,0,54,0,214,0,160,0,0,16,0,42,0,0,324,0,0,0,0,0,1,0,21,44,42,0,0,0,3,0,42,0,0,0,736,21,25,31,0,0,599,0,20,31,9,25,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9,80,0,0,21,0,7
12-Sep,21,0,5,5273,1061,231,76,553,81,93,0,0,49,0,241,0,195,0,0,30,0,31,0,0,322,0,0,0,1,0,0,0,22,39,32,0,0,0,2,0,24,0,0,0,723,12,17,20,0,0,553,0,17,20,11,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,61,0,0,21,0,8
12-Oct,27,0,6,6154,1270,248,93,755,83,103,0,0,49,0,278,0,247,0,0,42,0,31,0,0,395,0,0,0,0,0,0,0,19,53,38,1,0,1,5,0,48,0,0,0,716,15,34,18,0,0,755,1,28,19,10,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,60,0,0,29,0,8
12-Nov,24,0,12,6408,1348,281,107,848,110,120,0,0,50,0,265,0,306,0,1,36,0,40,0,0,410,0,0,0,0,0,0,0,21,81,50,0,0,1,1,0,53,0,1,0,699,15,31,27,0,0,848,0,26,40,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,80,0,0,29,0,5
12-Dec,22,0,16,5636,1194,206,75,663,103,120,0,0,48,2,231,0,261,0,0,36,0,47,0,0,372,0,0,0,0,0,1,0,16,68,66,1,0,1,3,0,58,0,1,0,616,15,37,30,0,0,663,1,29,24,9,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,105,0,0,29,0,3
13-Jan,36,0,13,6605,1515,255,104,728,113,156,0,0,43,1,335,0,268,0,0,36,0,47,1,0,470,0,0,0,0,0,2,0,2,95,57,1,0,0,4,0,77,0,0,0,717,18,23,29,0,0,728,0,23,31,17,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,77,0,0,25,0,5
13-Feb,27,0,16,6793,1678,283,75,817,72,187,0,0,46,1,287,0,281,0,0,29,0,43,0,0,512,0,0,0,0,0,0,0,0,60,42,4,0,1,3,0,65,0,0,0,737,17,17,27,0,0,817,0,31,39,21,31,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,16,80,0,0,26,0,9
13-Mar,44,0,18,7680,1858,329,101,1000,137,173,0,0,71,0,374,0,327,0,1,45,0,59,0,0,545,0,0,0,1,0,1,0,1,68,60,3,0,0,5,0,69,0,0,2,691,25,23,46,0,0,1000,2,39,51,20,29,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,18,93,0,0,37,0,12
13-Apr,33,0,17,7975,1849,386,121,1060,115,190,0,0,65,3,419,0,438,0,0,42,0,68,1,0,556,0,0,0,0,0,1,0,1,95,62,4,0,1,3,0,92,0,0,0,789,25,21,47,0,0,1060,2,28,43,28,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,17,105,0,0,31,0,16
13-May,41,0,7,7862,1795,364,96,1025,116,226,0,0,57,5,382,0,444,0,1,51,1,56,1,0,562,0,0,0,0,0,9,0,9,82,66,3,0,2,4,0,82,2,0,0,774,20,17,37,2,0,1025,0,42,44,21,28,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,7,92,0,0,32,0,10
13-Jun,29,0,11,7640,1785,296,95,906,114,246,0,0,55,12,408,0,442,0,0,33,0,46,0,0,489,0,0,0,0,0,4,0,4,87,68,2,0,1,6,0,104,0,1,0,708,12,18,26,0,0,906,0,24,42,13,33,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,11,73,0,0,23,0,17
13-Jul,42,0,15,8656,1980,414,131,997,129,289,0,0,58,6,432,0,497,0,0,31,1,56,0,0,552,0,0,0,0,0,4,1,4,95,109,2,0,2,4,0,102,0,0,0,820,13,10,25,0,0,997,0,48,42,12,47,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,15,103,0,0,28,0,12
13-Aug,33,0,17,7974,1930,336,113,915,115,283,0,0,54,6,408,0,473,0,0,39,0,44,0,0,447,0,0,0,0,0,3,0,3,90,83,1,0,1,5,0,78,0,0,0,844,15,26,31,0,0,915,1,51,40,13,34,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,17,97,0,0,34,0,9
13-Sep,33,0,18,7999,1723,394,111,899,116,241,0,0,64,4,455,0,458,0,0,41,0,42,0,0,449,0,0,0,2,0,0,0,0,115,75,3,0,0,2,0,93,4,0,1,952,20,12,21,4,0,899,0,30,35,22,36,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,18,94,0,0,33,0,11
13-Oct,38,0,15,9539,2108,453,139,1117,138,358,0,0,46,12,488,0,528,0,1,42,0,48,0,0,554,0,0,0,0,0,2,1,2,94,88,5,0,1,3,0,127,3,0,0,1103,20,30,41,3,0,1117,0,26,35,20,22,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,15,84,0,0,24,0,9
13-Nov,28,0,11,9546,2194,487,134,1211,151,355,0,0,56,10,480,0,595,0,0,46,0,62,0,0,611,0,0,0,0,0,6,0,6,114,59,0,0,0,4,0,174,4,1,1,1116,19,23,46,4,0,1211,3,33,35,24,35,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,82,0,0,40,0,14
13-Dec,35,0,19,8306,1869,395,123,1037,194,324,0,1,53,11,437,0,499,1,0,63,0,37,0,0,510,0,2,0,0,0,3,1,3,84,87,2,0,4,2,0,145,3,0,0,1010,16,20,45,3,0,1037,1,26,47,24,37,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,90,0,0,14,0,9
14-Jan,41,0,20,9892,2366,485,115,1122,159,451,0,0,65,23,441,0,447,0,1,49,0,73,15,0,569,0,0,0,3,0,4,0,99,113,127,6,0,1,4,0,169,5,0,0,1237,21,20,48,5,0,1122,1,30,43,15,53,0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,20,132,0,0,36,0,4
14-Feb,40,0,22,9951,2624,556,159,1244,160,407,0,0,62,21,517,0,580,0,3,67,0,61,19,0,700,0,3,0,1,0,5,1,73,126,128,3,0,2,3,1,134,4,1,3,1111,23,21,37,4,0,1244,3,39,47,23,44,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,27,0,22,116,0,0,38,0,7
14-Mar,43,0,29,11483,2830,566,157,1433,168,528,0,0,73,37,545,0,719,0,5,89,1,92,18,0,807,0,3,0,0,0,7,0,99,132,129,10,0,0,8,0,124,7,0,2,1122,30,22,48,7,0,1433,1,59,60,25,56,0,4,3,0,0,0,0,1,1,0,0,0,0,0,0,1,30,0,29,126,0,0,46,0,6
14-Apr,57,0,27,10839,2748,507,130,1421,169,494,0,0,98,54,584,1,678,0,4,68,0,65,16,0,662,0,9,0,0,0,5,1,111,125,129,4,0,1,8,0,156,4,1,0,1114,20,24,52,4,0,1421,2,60,56,19,53,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,22,0,27,165,0,0,27,0,11
14-May,45,0,18,9330,2603,509,145,1264,137,463,0,0,81,86,516,0,491,0,5,68,0,67,15,0,535,0,6,0,0,0,8,2,83,111,116,6,0,1,4,0,126,5,0,3,1022,21,18,35,5,0,1264,1,44,47,21,55,0,2,7,0,0,0,0,0,3,0,0,0,0,0,0,1,14,0,18,107,0,0,30,3,8
14-Jun,42,0,31,8967,2407,437,124,1036,131,463,0,0,86,118,539,0,473,0,1,53,2,84,12,0,461,0,2,0,2,0,17,2,90,70,83,5,0,1,8,0,92,5,0,4,980,26,22,29,5,0,1036,0,49,31,10,39,0,3,3,0,0,0,0,1,2,0,0,0,0,0,0,0,19,0,31,117,0,0,26,2,8
14-Jul,28,0,15,9999,2654,485,149,1114,133,485,0,0,59,152,530,0,521,0,11,49,1,74,18,0,539,0,4,0,0,0,21,4,102,121,131,3,0,1,8,0,118,7,0,2,1025,25,19,26,7,0,1114,1,32,41,15,33,2,4,2,0,0,0,0,0,3,0,0,0,0,0,0,1,22,0,15,105,0,0,17,10,6
14-Aug,46,0,8,9170,2490,470,153,928,101,481,0,0,65,139,481,1,493,0,5,45,1,55,13,0,397,0,10,0,0,0,18,4,91,110,111,1,0,1,3,0,63,5,0,1,993,25,13,17,5,0,928,1,29,33,23,32,0,2,3,0,0,0,0,0,3,0,1,0,0,0,1,0,14,0,8,105,0,0,23,3,8
14-Sep,46,0,18,8829,2385,426,103,1077,128,490,0,0,78,144,517,0,532,0,7,42,0,52,13,0,434,0,12,0,0,0,12,1,67,108,74,6,0,0,9,0,60,7,0,2,1048,20,18,33,7,0,1077,1,27,49,5,33,0,1,12,0,0,0,0,0,4,0,0,0,0,0,0,1,27,0,18,93,0,0,44,4,6
14-Oct,48,0,24,9651,2796,524,124,1238,172,488,0,0,72,215,514,3,650,0,7,49,3,59,18,0,435,0,11,0,1,0,15,4,89,111,90,4,0,2,12,0,78,7,0,1,1009,21,15,31,7,0,1238,0,34,50,25,45,1,6,7,0,0,0,0,3,3,0,4,0,0,0,0,1,23,0,24,104,0,0,28,12,9
14-Nov,68,0,25,9652,2727,461,97,1245,131,515,0,0,93,234,557,5,716,0,4,48,1,76,15,0,423,0,10,0,0,0,16,7,86,106,105,9,0,0,5,0,81,4,0,0,937,29,13,70,4,0,1245,1,67,58,28,51,1,9,8,0,0,0,0,7,1,0,0,0,0,0,0,1,25,0,25,81,0,0,27,11,11
