Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Albania,2021,65.2,46.1,40.6,22.8,89,74.6,86.6,66.1,51.6,82,82.8,70,70
Armenia,2021,71.9,57.3,45,55.3,87.1,81.3,84.3,81.9,74.5,76.9,73.8,75,70
Austria,2021,73.9,86.8,84.8,83.5,45.7,29.1,90,72.6,68.4,81.7,84,90,70
Azerbaijan,2021,70.1,67.9,46.8,55.8,88.1,65.2,99.4,80.5,65.9,73.2,68,70,60
Belarus,2021,61,58.6,39.8,40.4,92.9,55.5,96.5,75.9,75.7,70.2,76,30,20
Belgium,2021,70.1,84,81.3,70.2,46.5,18.4,78.7,80.1,61.1,82,84,85,70
Bosnia and Herzegovina,2021,62.9,44.1,42.4,33.7,93.8,49.5,97.1,48.2,67.8,84.1,69.2,65,60
Bulgaria,2021,70.4,66.2,46.8,43.6,93.9,64.7,99.2,62.9,68.5,85.2,84,70,60
Croatia,2021,63.6,68.4,51.4,41.1,79,35.8,89.6,56.2,43.6,78.7,84,75,60
Cyprus,2021,71.4,78.5,65,57.9,80.2,52.1,82,76.1,60.5,85,84,75,60
Czech Republic,2021,73.8,76.2,64.4,56.8,79.1,51.4,98.1,68.8,77.1,79.7,84,70,80
Denmark,2021,77.8,86.7,93.4,86.9,43.7,23.1,98.2,88.8,73.8,84.5,84,90,80
Estonia,2021,78.2,81.8,86.4,80.8,81,54.4,99.6,72.7,57.8,79.7,84,90,70
Finland,2021,76.1,91.9,97.2,82.2,68,14.3,91.4,85.8,50.5,83.3,84,85,80
France,2021,65.7,82.2,80.1,69.2,50.7,6.3,69,80.2,44.8,77.3,84,75,70
Georgia,2021,77.2,66.9,64.6,59.3,89.1,76.9,94.9,84.9,76.7,76.7,86,80,70
Germany,2021,72.5,78.8,81.5,69.8,60.4,40.3,92.8,82.4,53,77.2,84,80,70
Greece,2021,60.9,55.5,53.6,53.5,59.9,34.2,80,75.8,49.8,80,84,55,50
Hungary,2021,67.2,65.6,48.7,52.4,83.6,35,83.3,59.9,64.8,78.8,84,80,70
Iceland,2021,77.4,87,90.6,72.6,72.4,46.2,97.6,83.6,62,79.4,86.8,80,70
Ireland,2021,81.4,86,82,72.4,76.6,81.1,93.1,81.5,76.1,84.4,84,90,70
Italy,2021,64.9,75.7,63.7,62.3,58.1,28.9,73,68.1,50.5,84.2,84,80,50
Kosovo,2021,66.5,54.5,46.4,55.9,92.6,75,90.5,71.2,64.4,75.7,77.2,65,30
Latvia,2021,72.3,74.7,47.7,55.9,76.7,57.6,96.6,76.5,73.8,79.6,84,85,60
Liechtenstein,2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,80
Lithuania,2021,76.9,78.9,74.5,68.7,84.6,66.8,97.2,73.1,74.4,80.1,84,70,70
Luxembourg,2021,76,85.7,92.5,77.6,63.4,46.2,99,66.1,45.9,76.5,84,95,80
Malta,2021,70.2,68.2,55,57.3,68.6,60.9,96.3,67.6,61.8,77.1,84,85,60
Moldova,2021,62.5,60.6,38.7,29.9,94,71,96.5,66.2,39.2,71.5,76.8,55,50
Montenegro,2021,63.4,57.8,51,56.2,83.6,35.3,37.2,73.5,78,83.4,79.4,75,50
Netherlands,2021,76.8,88.9,90.6,72.8,51.7,47.7,95.3,80.5,60.1,80.4,84,90,80
North Macedonia,2021,68.6,62.6,41.9,40.4,94.9,71,87.8,77.8,65.2,78.7,77.4,65,60
Norway,2021,73.4,82.4,95.8,86.3,57.1,25.3,96.6,85.5,57.8,75.4,84,75,60
Poland,2021,69.7,63.3,65,48.9,73.9,48.1,94.6,61.6,66.1,80.8,84,80,70
Portugal,2021,67.5,74.1,68.2,68.5,60,42.4,78.2,75.9,44.1,85,84,70,60
Romania,2021,69.5,68.8,54.6,63.1,94.3,69.2,78.9,59.7,63.6,77.7,84,70,50
Russia,2021,61.5,54.4,41.7,42.4,93,66.1,99.6,84.1,55.4,67.3,74,30,30
Serbia ,2021,67.2,57.9,45,50.6,92.5,49.6,94.6,71,67.3,81.1,77.2,70,50
Slovak Republic,2021,66.3,71.5,48.8,44.4,78.4,47,93.4,55.6,52.2,74.8,84,75,70
Slovenia,2021,68.3,77.3,68.2,56.3,58.2,42.5,91.1,78.8,61.5,81.9,84,70,50
Spain,2021,69.9,76.4,70.3,65.4,61.7,48.1,69.8,66.3,57.9,83.5,84,85,70
Sweden,2021,74.7,86.6,92.5,79.1,43.6,29.5,97.6,83.2,53.9,81.5,84,85,80
Switzerland,2021,81.9,85.4,87.9,82.2,70.4,67.6,96.9,73.6,72.5,85.4,86,85,90
Turkey,2021,64,61.5,45.4,58.6,73.2,64.5,75.8,68.5,48.8,65.4,76,70,60
Ukraine,2021,56.2,48.5,37.9,41.1,88.7,48.2,87.7,63.5,48.7,65.8,79.2,35,30
United Kingdom,2021,78.4,87.6,86.5,76.7,64.9,54.8,77.3,94.4,73.2,81,84,80,80
Albania,2020,66.9,57.1,38.8,33,85.9,74.6,86.3,65.7,52.1,81.2,88.4,70,70
Armenia,2020,70.6,60.7,43.4,54.1,84.9,80.6,68.8,81,72.5,76,80.6,75,70
Austria,2020,73.3,87.3,84,73.2,51.3,27.2,87.9,73,68.3,81,86.4,90,70
Azerbaijan,2020,69.3,67.1,38.7,53.9,88,63,99.2,80.8,66.2,69.8,74.6,70,60
Belarus,2020,61.7,63.2,37.4,48.4,88.8,54.1,95.4,76.4,74.8,69.8,82,30,20
Belgium,2020,68.9,84.5,80.2,62.5,46.7,17.2,77,75.2,61.1,80.5,86.4,85,70
Bosnia and Herzegovina,2020,62.6,44.4,41.8,33.9,83.6,49.3,97.3,45.7,67.4,82.7,80,65,60
Bulgaria,2020,70.2,64.2,44.2,45.4,90.3,66.1,99.2,62.6,68.1,85.7,86.4,70,60
Croatia,2020,62.2,69.9,51,39.6,65.9,34.7,89.1,53.6,44,77.6,86.4,75,60
Cyprus,2020,70.1,77.4,57.6,50.5,74.8,58.6,80,76.6,59.7,84.3,86.4,75,60
Czech Republic,2020,74.8,76.8,64.2,49.9,82,52.7,97.8,69.7,77.6,80.8,86.4,80,80
Denmark,2020,78.3,86.3,93,84.6,42,19.7,97.7,88.7,86.2,84.6,86.4,90,80
Estonia,2020,77.7,83.2,85.9,73.7,81.1,53.3,99.9,73.5,57.3,78.6,86.4,90,70
Finland,2020,75.7,92.3,96.1,80.5,67.5,11.2,90.7,84.8,50.3,83.6,86.4,85,80
France,2020,66,85.9,83.3,71.2,48.8,4.5,67.1,82.5,46.1,76.7,81.4,75,70
Georgia,2020,77.1,68.6,64.8,57.9,87.1,73.6,94.4,85.3,76.3,78.3,88.6,80,70
Germany,2020,73.5,80.5,82.8,74.3,60.9,42.2,92.9,82.8,53,76.7,86.4,80,70
Greece,2020,59.9,57,51.2,48.6,59,31.5,80,73.7,52,79.4,81.4,55,50
Hungary,2020,66.4,64.8,47.5,45.7,79.9,34.5,83.6,60.2,64.6,79.9,86.4,80,70
Iceland,2020,77.1,87.6,90.3,63.2,71.7,44.1,97.5,84.7,63.5,80.3,86.8,85,70
Ireland,2020,80.9,86.6,82.8,64.4,76.4,78.8,91.4,82.7,75.9,85.3,86.4,90,70
Italy,2020,63.8,75.4,62.2,51.3,56,28.5,71.1,70.4,50.9,83.2,86.4,80,50
Kosovo,2020,67.4,66.3,39.2,54.1,92.6,76.5,94,75,61,78.4,76.2,65,30
Latvia,2020,71.9,72.3,46.4,51.1,76.9,58.3,96.5,77,72.4,80.2,86.4,85,60
Liechtenstein,2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,80
Lithuania,2020,76.7,77.9,67.4,62.1,84.9,66,97.4,71.9,76.5,79.7,86.4,80,70
Luxembourg,2020,75.8,86.4,90.3,74.4,64.1,45.4,99,66.8,45.3,76.4,86.4,95,80
Malta,2020,69.5,70.5,55.1,49.6,64.8,60,95.9,68,61.1,77.1,86.4,85,60
Moldova,2020,62,60.5,37.2,31.7,86.1,71.6,96.2,68.1,37,72,78,55,50
Montenegro,2020,61.5,59.1,47.5,55.3,85.4,32.1,23.4,70.8,74.8,80.3,83.8,75,50
Netherlands,2020,77,90,90.1,73.9,51.7,45.2,94.1,80.4,60.2,82.5,86.4,90,80
North Macedonia,2020,69.5,62.5,42.2,42.7,91.5,71,87.7,80.6,67,77.7,86.2,65,60
Norway,2020,73.4,84.3,95.6,82.8,57.7,25.6,97.3,86.1,57.4,74.8,83.8,75,60
Poland,2020,69.1,63.1,64.6,42.8,74.7,48.8,92.2,62.6,62,82,86.4,80,70
Portugal,2020,67,75.4,68.9,65.6,59.6,39.8,74.4,76.5,44.1,83,86.4,70,60
Romania,2020,69.7,72.5,55.1,56.1,90.3,70.4,85.6,58.6,63,78.1,86.4,70,50
Russia,2020,61,56.8,41.3,44.4,88.5,63.8,98.7,80.2,52.1,68.2,77.8,30,30
Serbia ,2020,66,55.4,44,46.8,83.7,49.7,94.1,72.6,66.9,80.7,78,70,50
Slovak Republic,2020,66.8,73.1,49.7,41.7,78.5,50.2,92.6,55.3,52.6,75.9,86.4,75,70
Slovenia,2020,67.8,76.5,67.4,48.6,59.2,42.9,90.3,78.4,61.4,82.2,86.4,70,50
Spain,2020,66.9,74.9,55.1,51.8,62.1,48.3,62.6,66.8,57.7,82,86.4,85,70
Sweden,2020,74.9,88.8,91.4,79.9,43.6,25.8,97,85.3,53.8,81.2,86.4,85,80
Switzerland,2020,82,87.4,90.1,81.5,70.1,65.3,96.7,74.2,72.4,84.4,86.6,85,90
Turkey,2020,64.4,57.4,44.6,53.7,76.7,64.1,86.1,67,49.2,66.1,78,70,60
Ukraine,2020,54.9,47.5,37.9,42.2,81.1,47.2,83.9,61.3,48.3,63,81.2,35,30
United Kingdom,2020,79.3,92.2,89.9,82.7,64.7,49.5,78.1,94.7,73.1,80.3,86.4,80,80
Albania,2019,66.5,54.8,40.4,30.6,86.3,73.9,80.6,69.3,52.7,81.5,87.8,70,70
Armenia,2019,67.7,57.2,38.6,46.3,84.7,79,53,78.3,71.4,77.8,80.8,75,70
Austria,2019,72,84.2,77.4,71.3,50.5,24.5,85.5,74.9,68.7,81.5,86,90,70
Azerbaijan,2019,65.4,59.1,44.7,53.1,87.5,59.5,89.4,69.5,63.9,63,74.6,60,60
Belarus,2019,57.9,55.2,37.7,51.7,89.4,41.3,85.4,75,75.3,67,76.4,30,10
Belgium,2019,67.3,81.3,72.5,61.6,47.1,15.2,73.4,78.1,61,76.1,86,85,70
Bosnia and Herzegovina,2019,61.9,40.2,30.2,37.9,84.3,46.1,96.6,49.7,67,83.1,82.6,65,60
Bulgaria,2019,69,62.5,35.1,41.9,90.2,63.9,98.8,62.7,68.4,88,86,70,60
Croatia,2019,61.4,66,38.6,42.9,66.4,33.4,85.4,60.7,44,78.5,86,75,60
Cyprus,2019,68.1,73.1,43.7,48.1,74.9,55.2,80.3,76.9,59.5,84,86,75,60
Czech Republic,2019,73.7,74.8,52.1,47.6,82.6,52.1,97.6,72.4,78.1,81.5,86,80,80
Denmark,2019,76.7,86.2,85.8,77.8,42,14.4,96.7,90.7,86.4,84.1,86,90,80
Estonia,2019,76.6,81.5,73.1,76,79.9,51.1,99.8,75.3,57.2,79.6,86,90,70
Finland,2019,74.9,89.6,92.5,81.2,66.8,7.2,86.4,89.4,50.3,84.8,86,85,80
France,2019,63.8,82.5,67.9,66.1,48.4,3.9,64.9,81.2,45.2,79.1,81,75,70
Georgia,2019,75.9,65.9,58.5,54.6,87.1,73.6,93.9,85.8,76.6,76,88.6,80,70
Germany,2019,73.5,79.9,81.3,75.4,60.8,42.3,91.8,83.3,52.8,77.9,86,80,70
Greece,2019,57.7,52.4,37.7,49.5,59.1,23.3,79,74.1,52.5,79.1,81,55,50
Hungary,2019,65,60.9,35.3,45.2,78.6,31.7,85,61.1,64.7,81.8,86,80,70
Iceland,2019,77.1,87.4,83.8,63.8,72.7,44,96.7,88.4,64.1,81.7,87,85,70
Ireland,2019,80.5,85.8,78,68.4,76.3,77.4,89,83.1,75.3,87,86,90,70
Italy,2019,62.2,71.7,43.7,49.8,55.6,26.5,71.3,71.7,51.1,84,86,85,50
Kosovo,2019,67,57.2,44.7,53.5,92.5,77.7,96,73.8,64.9,78.3,70.8,65,30
Latvia,2019,70.4,67.3,35.5,48.4,77,57.1,96.9,77.5,73.3,81.1,86,85,60
Liechtenstein,2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,80
Lithuania,2019,74.2,73.6,47.8,61.2,86.4,65.1,97.3,75.2,63.6,84.6,86,80,70
Luxembourg,2019,75.9,83,85.8,72.4,65.4,46.6,98.9,68.8,45.9,82.6,86,95,80
Malta,2019,68.6,69.8,50.3,50.4,64.2,56.1,94.5,67.1,61.3,78.2,86,85,60
Moldova,2019,59.1,55.2,25.4,29.6,85.4,59.1,92,67,39,73.5,78,55,50
Montenegro,2019,60.5,55.4,39.5,51.8,85.3,32.6,23.2,73.3,73.4,81.6,84.7,75,50
Netherlands,2019,76.8,88,89.1,74.7,51.6,42.9,93.3,81.4,60.3,84,86,90,80
North Macedonia,2019,71.1,65.1,44.7,60.7,91.8,70,82.9,80.2,71.5,78.7,82,65,60
Norway,2019,73,86.1,92.3,81.2,57.4,25.3,97.3,89.4,53.7,75.4,83.2,75,60
Poland,2019,67.8,62.3,49.8,44,74.9,48.8,86.4,65.4,63.9,82.1,86,80,70
Portugal,2019,65.3,71.5,59.5,64.3,59.9,35.6,69.8,79.7,44.3,83,86,70,60
Romania,2019,68.6,66.7,39.8,51.9,89.7,69,89.3,63.1,64.5,82.7,86,70,50
Russia,2019,58.9,52.4,36.6,45.1,89.4,62.3,86.6,78.4,52.5,65.1,77.8,30,30
Serbia ,2019,63.9,50.1,37.2,44.8,82,45.1,90.1,72.9,67.4,80,77,70,50
Slovak Republic,2019,65,68.5,37.7,37.2,78.6,46.1,87.2,61.3,53.4,78.6,86,75,70
Slovenia,2019,65.5,76.4,53.6,46.5,58.4,38.3,82.6,79.3,61.2,83.6,86,70,50
Spain,2019,65.7,72.9,51.9,51.4,62.3,46.2,51.1,66.8,57.8,87.5,86,85,70
Sweden,2019,75.2,89.5,88,84,43.2,26.7,96.6,88,53.9,82,86,85,80
Switzerland,2019,81.9,85.3,88,82,70.5,64.8,96.3,75.4,72.5,85.2,87.4,85,90
Turkey,2019,64.6,55.8,41.2,49.8,76.4,65.1,92.2,66,49.2,70,79.6,70,60
Ukraine,2019,52.3,43.9,29.6,31.5,81.8,46.9,82.6,66.1,46.7,58.6,75,35,30
United Kingdom,2019,78.9,92.3,83.8,85.9,64.7,48.2,68.6,92.9,73.5,81.2,86,90,80
Albania,2018,64.5,54.1,39.9,25.4,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70,70
Armenia,2018,68.7,55.3,40.5,47.4,84.7,80,67.2,78.7,69.9,75.8,80,75,70
Austria,2018,71.8,83.5,73.5,80.9,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90,70
Azerbaijan,2018,64.3,53.6,39.9,36.8,87.5,59.4,95.5,72.3,71.9,65.6,74.6,55,60
Belarus,2018,58.1,53.5,42,57.3,89.8,47.9,75.4,74.1,73.1,62.3,81.4,30,10
Belgium,2018,67.5,81.2,70.9,69.5,44,12.1,67.9,80.6,59.5,82.6,86.9,85,70
Bosnia and Herzegovina,2018,61.4,39.5,28.4,43.7,83.5,41.5,94.4,49.3,59.6,83.5,87.8,65,60
Bulgaria,2018,68.3,63.6,38.2,42.5,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70,60
Croatia,2018,61,65.9,40.5,56.5,66,32.5,67.2,58.9,43,79.1,87.4,75,60
Cyprus,2018,67.8,71.2,41.3,56.7,75.2,52.9,79.3,77,55.7,83,86.9,75,60
Czech Republic,2018,74.2,73,51.1,57.9,82.9,48.6,96.2,72.5,76.8,85.2,86.9,80,80
Denmark,2018,76.6,84.8,84.1,83.6,41.4,10.6,96.7,92.5,82.8,86.4,86.9,90,80
Estonia,2018,78.8,80.4,75.7,83.9,80.7,52.6,99.8,75.6,54.8,85.1,86.9,90,80
Finland,2018,74.1,89,89.8,82.7,66.5,2.3,81.1,89.9,50.5,86,86.9,85,80
France,2018,63.9,84,65.1,72.7,47.3,2.7,60.8,80.2,45,81.6,81.9,75,70
Georgia,2018,76.2,62.8,61.8,64.2,87,73.3,91.8,86.9,77.3,79.6,89.4,80,60
Germany,2018,74.2,81,75.3,78,61.3,41.3,90.8,86.1,53.3,86.2,86.9,80,70
Greece,2018,57.3,52.3,37.9,59,60.4,20.9,70.5,74.4,54.4,81,81.9,55,40
Hungary,2018,66.7,57.6,36.4,57.1,78.6,29.4,82.4,61.8,68.7,91.6,86.9,80,70
Iceland,2018,77,86.7,77.3,72.6,72.1,44.2,94.3,89.5,61.8,81.7,88.5,85,70
Ireland,2018,80.4,87.7,79,79,76.1,69.6,80.8,81.8,76.4,87.4,86.9,90,70
Italy,2018,62.5,71.2,40.1,60.9,55.2,24.1,68.2,70.3,50.3,88.2,86.9,85,50
Kosovo,2018,66.6,52.3,45.4,59,93.2,77.9,92.8,72.6,58.3,81.2,70.8,65,30
Latvia,2018,73.6,68.3,45.4,58.9,84,59,95.3,80.1,72.5,87.3,86.9,85,60
Liechtenstein,2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,85,80
Lithuania,2018,75.3,73.8,50.9,66.7,86.4,63.9,96.7,73.4,64.5,89.9,86.9,80,70
Luxembourg,2018,76.4,82.7,79,77.9,65.1,48.5,99,69.2,46.2,87.6,86.9,95,80
Malta,2018,68.5,68.1,49.9,62.8,64.7,51,90,64,61.1,78.8,86.9,85,60
Moldova,2018,58.4,53.5,26.6,26.3,85.3,56.7,90,66,39.9,73.2,78.3,55,50
Montenegro,2018,64.3,54.2,38.1,51.3,85.2,35.7,69.1,72.9,70.9,84.9,84.7,75,50
Netherlands,2018,76.2,87.9,86,74.1,52.5,39.1,88.2,80.5,61.5,87.5,86.9,90,80
North Macedonia,2018,71.3,64.8,47.4,57,91.6,70.3,78.1,82.9,69,81.8,87.8,65,60
Norway,2018,74.3,86.4,93.6,86,56.4,29.2,97.8,90.4,54.6,73.9,87.9,75,60
Poland,2018,68.5,61.8,50.9,56.6,75.9,47.8,81.5,67.2,63.9,85,86.9,75,70
Portugal,2018,63.4,69.2,56.8,70.1,59.8,29.8,46,83.2,44.1,85.3,86.9,70,60
Romania,2018,69.4,61,40,59.7,87.3,66.9,91.1,65.2,66.8,82.8,86.9,75,50
Russia,2018,58.2,48.7,38.1,46.9,85.8,62.5,87.7,77,52,60.8,79.4,30,30
Serbia ,2018,62.5,46.2,36.5,48.2,83.5,40.6,67,68.3,69.2,82.9,87.4,70,50
Slovak Republic,2018,65.3,68.2,38.2,38.8,78.9,44.3,84.9,63.9,54,81,86.9,75,70
Slovenia,2018,64.8,76.6,52.1,57.7,58.7,31.2,66.3,79.5,61.3,87.3,86.9,70,50
Spain,2018,65.1,73.1,51.5,62,62,42.8,36.1,66.3,59,86.7,86.9,85,70
Sweden,2018,76.3,92.6,92.9,88.2,43.9,23.2,96.1,89.3,53.7,83.8,86.9,85,80
Switzerland,2018,81.7,84.2,82.8,82.1,70.5,65.4,95.9,75.7,73.9,85.2,90,85,90
Turkey,2018,65.4,54.7,42,54.5,74.7,68.1,93.6,63.3,47.6,72.3,78.6,75,60
Ukraine,2018,51.9,41,29,29.5,80.2,45,75.9,62.7,52.8,60.1,81.1,35,30
United Kingdom,2018,78,92.2,79,93.8,65.2,44.4,53.5,91.1,74.4,85.2,86.9,90,80
Albania,2017,64.4,54,39.7,28.5,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70,70
Armenia,2017,70.3,55.5,43.4,42.5,83.7,81.7,82.9,78.5,72.4,72.8,80.2,80,70
Austria,2017,72.3,86,75.2,81.8,50.3,19.3,79.7,76.9,67.6,83.4,87,90,70
Azerbaijan,2017,63.6,50.5,37.6,33,87.7,57.5,97.4,71.5,75,73.6,74.4,55,50
Belarus,2017,58.6,50.9,37.6,56.3,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30,10
Belgium,2017,67.8,83.3,71.5,69.3,44.1,9.6,66.3,82,61.1,84.9,87,85,70
Bosnia and Herzegovina,2017,60.2,41.2,32.7,40,83.5,33.7,89.3,47.4,59.3,84,86.6,65,60
Bulgaria,2017,67.9,62.5,41.8,38.9,91,58.4,86.4,66.7,68.3,83.3,87,70,60
Croatia,2017,59.4,65.5,43.4,56.8,66.8,31.3,44.7,58.2,43.3,80.3,87.4,75,60
Cyprus,2017,67.9,75.4,53.6,60.7,73,48.8,72.9,75.8,58.6,83.3,87,75,50
Czech Republic,2017,73.3,70.3,55.9,55.9,82.9,45.3,92,67.2,77.7,85.8,87,80,80
Denmark,2017,75.1,86.7,84.9,68.5,37.2,5.7,95.4,93.9,85.8,85.5,87,90,80
Estonia,2017,79.1,82.6,69.9,82.8,81.2,55.8,99.8,77,56.9,85.7,87,90,80
Finland,2017,74,90.6,90,82.7,66.6,0,77.3,90.2,53.4,85.1,87,85,80
France,2017,63.3,85,69.7,72.7,47.6,2,57,78,44.1,81.6,82,70,70
Georgia,2017,76,55.1,65,66.5,87.3,74.4,93.5,87.2,75.9,78.2,88.6,80,60
Germany,2017,73.8,82.9,77.7,79.5,61.9,41.4,89.9,86.6,42.8,85.9,87,80,70
Greece,2017,55,52.5,41.3,56.1,61.1,5.4,58.1,74.3,51,78.2,82,60,40
Hungary,2017,65.8,60.1,41.5,51.8,79.3,25.3,79.3,64,64.4,91.7,87,75,70
Iceland,2017,74.4,85,71.5,71.5,70.9,41.1,90.6,90.2,62.6,81.2,88,80,60
Ireland,2017,76.7,85.8,78.3,78.3,72.7,57.1,60.3,80.3,73.6,87.6,87,90,70
Italy,2017,62.5,74.6,44.7,55.4,54.9,22.3,66.9,69.8,52.9,86.9,87,85,50
Kosovo,2017,67.9,70.3,45.9,58,93.5,77.8,88.9,68.8,65.3,80,70.8,65,30
Latvia,2017,74.8,72.6,67.3,59.7,84.7,57.4,95,79.8,72,86.5,87,75,60
Liechtenstein,2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92.3,85.7,N/A,90,85,80
Lithuania,2017,75.8,73,69.7,62.4,86.9,64.1,93.6,79.1,63.6,90,87,70,70
Luxembourg,2017,75.9,85.8,78.3,77,64.5,46,99,68.6,43.8,86.2,87,95,80
Malta,2017,67.7,67.7,53.6,62.9,62.8,44.9,85.1,62.5,57.2,83.5,87,85,60
Moldova,2017,58,49.6,28.6,23.9,86.1,54.8,90.6,65.9,38.9,72,80,55,50
Montenegro,2017,62,58,43.4,50.4,83.1,33.1,44.3,72,67.4,82.5,84.7,75,50
Netherlands,2017,75.8,87.4,85.7,69.9,53.2,37,83,80.2,70.5,85.8,87,90,80
North Macedonia,2017,70.7,67,52,61.4,91.9,68.9,72.6,81.5,66.7,80.8,86.1,60,60
Norway,2017,74,86.7,88.3,83.3,55.6,38.5,98.4,89.5,48.8,75.8,87.7,75,60
Poland,2017,68.3,60.8,55.5,58,76,46.9,76.1,67.8,61.5,84.7,87,75,70
Portugal,2017,62.6,73.3,59,68.9,59.8,25.1,32.1,86.4,43.4,85.9,87,70,60
Romania,2017,69.7,63.9,45.9,58.5,87.4,65.3,90.9,65.9,62.5,83.6,87,75,50
Russia,2017,57.1,47.6,38.2,44.5,81.8,61.5,93.4,74.8,50.8,57.3,75.2,30,30
Serbia ,2017,58.9,50.3,38.2,40.2,83.3,40.3,46.9,62.9,65.9,80.8,77.8,70,50
Slovak Republic,2017,65.7,69,39.6,38,79.7,47.2,82.9,64.9,54.4,81.1,87,75,70
Slovenia,2017,59.2,75,53.6,55.1,58.7,28.6,6.1,80.6,60.2,85.3,87,70,50
Spain,2017,63.6,71.2,57.2,53.9,62.5,41.4,26.9,66.9,55.3,85.5,87,85,70
Sweden,2017,74.9,88.6,87.4,82.2,44.4,21.7,93.4,90.8,53.2,85.3,87,85,80
