Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Switzerland,2017,81.5,86.9,80.3,77.6,70.9,67.5,95.8,76.8,72.2,84.4,90,85,90
Turkey,2017,65.2,61.3,40.7,52.5,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75,60
Ukraine,2017,48.1,41.4,29.2,22.6,78.6,38.2,67.9,62.1,48.8,47.4,85.9,25,30
United Kingdom,2017,76.4,93.8,78.3,93,65.1,41.9,40.4,89.9,72.8,85,87,90,80
Albania,2016,65.9,35,33,N/A,87.8,75,N/A,67.6,51.5,81.7,87.6,70,70
Armenia,2016,67,20,37,N/A,83.8,80.7,N/A,77.5,62.2,72.8,85.6,80,70
Austria,2016,71.7,90,72,N/A,50.7,22.4,N/A,79.4,72.5,81.7,88,90,70
Azerbaijan,2016,60.2,20,29,N/A,88,56.7,N/A,70.3,75.2,77,75.8,60,50
Belarus,2016,48.8,20,31,N/A,88.6,44.8,N/A,69,74.9,50.4,79,20,10
Belgium,2016,68.4,80,76,N/A,44.2,11,N/A,85.4,60.5,84,88,85,70
Bosnia and Herzegovina,2016,58.6,20,39,N/A,83.9,33.1,N/A,54.6,59.4,84.3,87,65,60
Bulgaria,2016,65.9,30,43,N/A,91.1,60.4,N/A,66.9,71.6,82.6,88,65,60
Croatia,2016,59.1,35,48,N/A,70.8,33.7,N/A,60.3,42.4,78.7,87.4,75,60
Cyprus,2016,68.7,70,63,N/A,76.1,47.3,N/A,74.5,58.2,85.3,88,75,50
Czech Republic,2016,73.2,75,51,N/A,82.5,47.3,N/A,66.6,77.7,84.1,88,80,80
Denmark,2016,75.3,95,92,N/A,39.5,2.3,N/A,95.4,86,84.4,88,90,80
Estonia,2016,77.2,90,69,N/A,81.9,54.9,N/A,79,57.2,82.2,88,90,80
Finland,2016,72.6,90,89,N/A,66.5,0.8,N/A,90.7,53.7,81.9,88,85,80
France,2016,62.3,80,69,N/A,47.7,2.5,N/A,78.4,43.5,79.1,83,70,70
Georgia,2016,72.6,40,52,N/A,87.6,75.3,N/A,86.5,75.7,80.5,88.6,80,60
Germany,2016,74.4,90,79,N/A,61.5,41.3,N/A,90,50.6,83.3,88,90,70
Greece,2016,53.2,40,43,N/A,64.4,0,N/A,73.8,50.2,77.7,83,60,40
Hungary,2016,66,45,54,N/A,78.7,26.7,N/A,70.6,63.8,88.3,88,75,70
Iceland,2016,73.3,90,79,N/A,73.3,42.1,N/A,90.1,61.6,79.5,87.8,70,60
Ireland,2016,77.3,90,74,N/A,73.6,50.3,N/A,79.6,72.1,85.5,88,90,70
Italy,2016,61.2,50,43,N/A,55.8,22.1,N/A,70.3,53,84.5,88,85,60
Kosovo,2016,61.4,30,33,N/A,93.6,76.8,N/A,69.3,66.3,78.9,70.8,65,30
Latvia,2016,70.4,50,55,N/A,84.8,58.4,N/A,78.6,59.5,84.8,88,85,60
Liechtenstein,2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,85,80
Lithuania,2016,75.2,65,58,N/A,92.9,63.8,N/A,80,60,84.6,88,80,80
Luxembourg,2016,73.9,90,82,N/A,61.1,43,N/A,73.7,42.6,83.2,88,95,80
Malta,2016,66.7,70,55,N/A,63.9,46.5,N/A,61.6,53.5,83.5,88,85,60
Moldova,2016,57.4,40,35,N/A,85.4,55.6,N/A,64.6,39.3,76,73.6,55,50
Montenegro,2016,64.9,40,42,N/A,91.6,39.8,N/A,76.6,72,82.6,84.8,70,50
Netherlands,2016,74.6,90,83,N/A,52.7,34.4,N/A,80,64,83.4,88,90,80
North Macedonia,2016,67.5,35,45,N/A,92.1,69.6,N/A,76.4,66.7,83.5,86.4,60,60
Norway,2016,70.8,90,86,N/A,53.2,41.8,N/A,89.6,48.5,76.2,87.8,75,60
Poland,2016,69.3,65,61,N/A,75.5,46.5,N/A,68.7,58,85.2,88,75,70
Portugal,2016,65.1,70,63,N/A,60.5,24.8,N/A,85.3,43.5,85.7,88,70,60
Romania,2016,65.6,35,43,N/A,87.5,65.6,N/A,66.1,65.1,81.1,88,75,50
Russia,2016,50.6,20,27,N/A,82.2,56.2,N/A,72.2,57.6,62.9,72.4,25,30
Serbia ,2016,62.1,50,41,N/A,84.3,44.1,N/A,60.2,66.2,77.5,77.8,70,50
Slovak Republic,2016,66.6,50,50,N/A,80.1,49.5,N/A,68.4,55,79.5,88,75,70
Slovenia,2016,60.6,60,58,N/A,58.6,0,N/A,82,55.4,84.3,88,70,50
Spain,2016,68.5,70,60,N/A,58.3,41.1,N/A,76,51.7,84.7,88,85,70
Sweden,2016,72,90,87,N/A,44.4,14.9,N/A,89.7,53.5,87.1,88,85,80
Switzerland,2016,81,90,86,N/A,70.9,66.3,N/A,82.2,72.1,87.8,90,85,80
Turkey,2016,62.1,40,45,N/A,75.2,55.6,N/A,65.4,48.6,71.5,84.4,75,60
Ukraine,2016,46.8,25,26,N/A,78.6,30.6,N/A,56.8,47.9,66.9,85.8,20,30
United Kingdom,2016,76.4,90,78,N/A,64.9,39,N/A,86,71.8,76.4,88,90,80
Albania,2015,65.7,30,31,N/A,87.2,76.1,N/A,70.6,52.9,80.8,87.8,70,70
Armenia,2015,67.1,20,36,N/A,84.4,82.8,N/A,82.7,64.3,70.6,85.4,75,70
Austria,2015,71.2,90,69,N/A,50.1,19.8,N/A,78,76.7,80.3,88,90,70
Azerbaijan,2015,61,20,28,N/A,88.1,59.7,N/A,74.5,79.1,79.8,76,55,50
Belarus,2015,49.8,20,29,N/A,86.4,54.7,N/A,72,80.1,44.5,81,20,10
Belgium,2015,68.8,80,75,N/A,43.6,10.2,N/A,90.7,63.7,81.7,88,85,70
Bosnia and Herzegovina,2015,59,20,42,N/A,82.9,27.3,N/A,53.5,63.4,84,87.2,70,60
Bulgaria,2015,66.8,30,41,N/A,91,64.5,N/A,68.5,76.6,83.2,88,65,60
Croatia,2015,61.5,40,48,N/A,74.9,46.5,N/A,55.8,42.8,80,87.2,80,60
Cyprus,2015,67.9,70,63,N/A,79.5,36.7,N/A,79.5,59.6,82.7,88,70,50
Czech Republic,2015,72.5,75,48,N/A,81.5,40.6,N/A,68.2,82.9,81.2,88,80,80
Denmark,2015,76.3,95,91,N/A,39.6,1.8,N/A,97.4,92.1,87.6,88,90,80
Estonia,2015,76.8,90,68,N/A,80.6,53.2,N/A,81.5,58.7,77.6,88,90,80
Finland,2015,73.4,90,89,N/A,66.4,3.6,N/A,92.6,54.8,79.9,88,90,80
France,2015,62.5,80,71,N/A,47.5,2.5,N/A,80.2,43.5,77.5,83,70,70
Georgia,2015,73,40,49,N/A,87.2,73.8,N/A,88.6,79.9,82.7,88.6,80,60
Germany,2015,73.8,90,78,N/A,60.8,40.1,N/A,88.2,51.2,81.5,88,90,70
Greece,2015,54,40,40,N/A,64.2,0,N/A,73.3,51.6,77.8,83,60,50
Hungary,2015,66.8,55,54,N/A,78.7,25.9,N/A,74.5,67.7,79.2,88,75,70
Iceland,2015,72,90,78,N/A,72,32.6,N/A,90.5,62.2,77,88,70,60
Ireland,2015,76.6,85,72,N/A,73.6,45.6,N/A,82.1,76.2,83.9,88,90,70
Italy,2015,61.7,55,43,N/A,54.2,23.2,N/A,71.9,55.4,81.2,88,85,60
Kosovo,2015,N/A,30,33,N/A,N/A,73.9,N/A,66.8,72.1,74.9,N/A,65,N/A
Latvia,2015,69.7,50,53,N/A,84.4,59.2,N/A,82.1,61.5,83.8,88,85,50
Liechtenstein,2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,85,80
Lithuania,2015,74.7,60,57,N/A,92.9,61.3,N/A,84.9,62,81.2,88,80,80
Luxembourg,2015,73.2,90,80,N/A,62.3,42.2,N/A,71.3,42.1,80.7,88,95,80
Malta,2015,66.5,75,56,N/A,63.1,44.4,N/A,61,55.6,81.8,88,80,60
Moldova,2015,57.5,40,35,N/A,85.1,51.8,N/A,66.8,40.6,76.1,79.8,50,50
Montenegro,2015,64.7,40,44,N/A,92.6,36.7,N/A,77.1,77.5,79.7,84.8,65,50
Netherlands,2015,73.7,90,83,N/A,51.8,23.8,N/A,84.3,66.3,79.8,88,90,80
North Macedonia,2015,67.1,35,44,N/A,91.4,65.6,N/A,79.2,70.7,79,86.2,60,60
Norway,2015,71.8,90,86,N/A,52.1,43.8,N/A,92.1,48.2,81.7,89.4,75,60
Poland,2015,68.6,60,60,N/A,82.1,47.1,N/A,67.3,60.4,81.3,88,70,70
Portugal,2015,65.3,70,62,N/A,61.1,28.8,N/A,87.5,42.9,82.8,88,70,60
Romania,2015,66.6,40,43,N/A,86.9,62.3,N/A,69.8,68.6,77.3,88,80,50
Russia,2015,52.1,20,28,N/A,86.1,57.8,N/A,76.3,58.9,63.9,75,25,30
Serbia ,2015,60,45,42,N/A,82.4,27.1,N/A,57.8,70.4,72.2,78.2,75,50
Slovak Republic,2015,67.2,50,47,N/A,80.8,55.1,N/A,69.6,56.5,75.5,88,80,70
Slovenia,2015,60.3,60,57,N/A,58.1,0,N/A,81.2,57.1,81.3,88,70,50
Spain,2015,67.6,70,59,N/A,53.1,39.8,N/A,77.5,52.6,81.3,88,85,70
Sweden,2015,72.7,90,89,N/A,43,19.2,N/A,87.9,54,85.5,88,90,80
Switzerland,2015,80.5,90,85,N/A,70.3,65.1,N/A,78.1,75.3,86.3,90,85,80
Turkey,2015,63.2,45,50,N/A,76.1,57.6,N/A,61,50.2,72.4,84.6,75,60
Ukraine,2015,46.9,20,25,N/A,78.7,28,N/A,59.3,48.2,78.6,85.8,15,30
United Kingdom,2015,75.8,90,76,N/A,62.9,30.3,N/A,91.1,75.6,74.4,88,90,80
Albania,2014,66.9,30,30.4,N/A,92.7,75.6,N/A,78.1,49.7,80,87.5,75,70
Armenia,2014,68.9,30,26.7,N/A,86.5,81.3,N/A,83.1,78.5,77,85.5,70,70
Austria,2014,72.4,90,75.5,N/A,51,23.5,N/A,76.3,80.5,79.5,87.8,90,70
Azerbaijan,2014,61.3,20,22.7,N/A,88.1,64.8,N/A,73.5,77.9,78.8,77.2,60,50
Belarus,2014,50.1,20,24.6,N/A,89.2,61.2,N/A,73.4,77.7,33.9,81.4,30,10
Belgium,2014,69.9,80,74.2,N/A,44.8,14.8,N/A,89.9,72.7,79.5,87.8,85,70
Bosnia and Herzegovina,2014,58.4,20,33.9,N/A,82.9,27.4,N/A,55.5,62.4,80.1,86.9,75,60
Bulgaria,2014,65.7,30,35.2,N/A,91.2,64.5,N/A,73.5,80.2,79.6,87.8,55,60
Croatia,2014,60.4,40,41.1,N/A,69.4,45.8,N/A,61.4,39.4,79.2,87.4,80,60
Cyprus,2014,67.6,70,64,N/A,79.7,36.2,N/A,79.7,70.2,78.8,82.8,65,50
Czech Republic,2014,72.2,70,45.3,N/A,81.7,43.8,N/A,70.1,84,79.4,87.8,80,80
Denmark,2014,76.1,90,93.7,N/A,39.3,0.5,N/A,98.1,91.2,80,87.8,90,90
Estonia,2014,75.9,90,64.2,N/A,80.4,56,N/A,77.6,55.9,76.9,87.8,90,80
Finland,2014,73.4,90,93.4,N/A,65.1,8.9,N/A,93.6,46.5,78.9,87.8,90,80
France,2014,63.5,80,69.9,N/A,48.4,5.6,N/A,79.9,51.8,76.1,82.8,70,70
Georgia,2014,72.6,40,42.8,N/A,87.3,69.7,N/A,87.8,91.2,78.4,88.6,80,60
Germany,2014,73.4,90,80.1,N/A,61.2,38.2,N/A,89.9,46.4,80.8,87.8,90,70
Greece,2014,55.7,40,33.2,N/A,65.9,19.2,N/A,75.8,53.9,76.3,82.8,60,50
Hungary,2014,67,60,48.6,N/A,81.1,26.8,N/A,79.3,65.7,75.6,87.8,75,70
Iceland,2014,72.4,90,84.2,N/A,72.9,32.9,N/A,91.2,59.1,76,87.9,70,60
Ireland,2014,76.2,90,74.8,N/A,74,30.6,N/A,83.4,79.5,81.7,87.8,90,70
Italy,2014,60.9,50,38.5,N/A,55.5,25.6,N/A,75.5,52.5,78.9,87.8,85,60
Kosovo,2014,N/A,30,28.6,N/A,92.7,73,N/A,58.1,71.3,72.7,N/A,65,N/A
Latvia,2014,68.7,50,43.6,N/A,84.6,54.9,N/A,82.5,68.5,79.7,87.8,85,50
Liechtenstein,2014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,85,80
Lithuania,2014,73,60,49.9,N/A,92.9,55.9,N/A,85.7,59,78.6,87.8,80,80
Luxembourg,2014,74.2,90,84.1,N/A,62.8,47.6,N/A,72.6,43.1,78.9,87.8,95,80
Malta,2014,66.4,75,55.8,N/A,63.7,47.2,N/A,62.4,53.2,79.1,87.8,80,60
Moldova,2014,57.3,40,29.5,N/A,85.8,54.4,N/A,70.1,37.9,75,80.1,50,50
Montenegro,2014,63.6,40,37.8,N/A,92.5,42.6,N/A,77.6,68.6,78.6,83.1,65,50
Netherlands,2014,74.2,90,88,N/A,51.7,25.6,N/A,89.7,59.6,79.9,87.8,90,80
North Macedonia,2014,68.6,35,39.6,N/A,91.4,70.7,N/A,81,78.8,83.5,85.9,60,60
Norway,2014,70.9,90,88.1,N/A,50.6,42.2,N/A,90.9,44.6,78.7,89.1,75,60
Poland,2014,67,60,54.8,N/A,76.1,43.2,N/A,70.1,60.4,77.8,87.8,70,70
Portugal,2014,63.5,70,61.1,N/A,60.1,26.8,N/A,84.9,34.6,79.3,87.8,70,60
Romania,2014,65.5,40,37.7,N/A,87,59.2,N/A,71,65.2,77.1,87.8,80,50
Russia,2014,51.9,25,22.1,N/A,85.6,61.5,N/A,70,55.8,69.4,74.6,25,30
Serbia ,2014,59.4,40,34,N/A,83.1,38.6,N/A,59.3,70.1,66.9,77,75,50
Slovak Republic,2014,66.4,50,41.8,N/A,80.2,56,N/A,67,53.6,78.1,87.8,80,70
Slovenia,2014,62.7,60,61,N/A,58.9,22.6,N/A,85.4,51,80.3,87.8,70,50
Spain,2014,67.2,70,62.6,N/A,54,38.7,N/A,77.3,52.2,79.9,87.8,80,70
Sweden,2014,73.1,90,92.3,N/A,42.9,21.4,N/A,91.1,52.9,82.5,87.8,90,80
Switzerland,2014,81.6,90,88.1,N/A,68.9,65.7,N/A,75.4,87.4,85.2,90,85,80
Turkey,2014,64.9,50,44,N/A,77.5,63.5,N/A,67.6,59.7,71.8,84.5,70,60
Ukraine,2014,49.3,30,21.9,N/A,79.1,37.5,N/A,59.8,49.8,78.7,86.2,20,30
United Kingdom,2014,74.9,90,76.4,N/A,56.6,29.5,N/A,92,73.1,73.5,87.8,90,80
Albania,2013,65.2,30,31,N/A,92.6,75.1,N/A,81,49,78.4,79.8,65,70
Armenia,2013,69.4,30,26,N/A,88,82.1,N/A,87.6,77.1,73,85.4,75,70
Austria,2013,71.8,90,78,N/A,51.1,23.5,N/A,73.6,80.4,79.3,86.8,85,70
Azerbaijan,2013,59.7,25,24,N/A,85.5,67.8,N/A,69.2,79.4,73.5,77.2,55,40
Belarus,2013,48,20,24,N/A,88.8,43.5,N/A,75.2,76.9,40.7,80.8,20,10
Belgium,2013,69.2,80,75,N/A,45,14.5,N/A,91.6,69.8,79.3,86.8,80,70
Bosnia and Herzegovina,2013,57.3,20,32,N/A,83.2,26.9,N/A,54.3,61.2,79,86.4,70,60
Bulgaria,2013,65,30,33,N/A,94,64.2,N/A,73.6,74.8,78.6,86.8,55,60
Croatia,2013,61.3,40,40,N/A,75.4,48.7,N/A,63,42.4,81.1,87.5,75,60
Cyprus,2013,69,70,63,N/A,79.8,32.7,N/A,80.7,62.8,84.1,81.8,75,60
Czech Republic,2013,70.9,70,44,N/A,82,43.5,N/A,65.8,85.5,81.7,86.8,70,80
Denmark,2013,76.1,90,94,N/A,39.8,5.9,N/A,98.4,91.1,80,86.8,85,90
Estonia,2013,75.3,85,64,N/A,79.7,56.2,N/A,78.2,56,77.1,86.8,90,80
Finland,2013,74,90,94,N/A,66.9,12.2,N/A,94.8,45.3,79.5,86.8,90,80
France,2013,64.1,80,70,N/A,53,5.6,N/A,84,50.5,81.1,81.8,65,70
Georgia,2013,72.2,45,41,N/A,88.2,68.9,N/A,90.6,91.1,72.6,89.2,75,60
Germany,2013,72.8,90,80,N/A,61.8,37.3,N/A,92.1,43.8,81.2,86.8,85,70
Greece,2013,55.4,40,34,N/A,66.2,24.7,N/A,77.1,42.1,73.4,81.8,65,50
Hungary,2013,67.3,65,46,N/A,79.7,29.7,N/A,79.1,64.4,77.1,86.8,75,70
Iceland,2013,72.1,90,83,N/A,72.7,36.2,N/A,91.5,58.9,75.8,87.8,65,60
Ireland,2013,75.7,90,75,N/A,73.8,28.8,N/A,83.4,76.6,82.8,86.8,90,70
Italy,2013,60.6,50,39,N/A,55.5,25.3,N/A,76.9,52,80.2,86.8,80,60
Kosovo,2013,N/A,30,29,N/A,93.5,73,N/A,52.4,77.7,N/A,N/A,65,N/A
Latvia,2013,66.5,50,42,N/A,84.4,53.6,N/A,75.7,64.4,78.3,86.8,80,50
Liechtenstein,2013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70,N/A,N/A,90,N/A,80
Lithuania,2013,72.1,60,48,N/A,92.8,53.6,N/A,77.6,64.1,78.3,86.8,80,80
Luxembourg,2013,74.2,90,85,N/A,65,47.1,N/A,74.8,39,79.3,86.8,95,80
Malta,2013,67.5,75,56,N/A,61.2,44.1,N/A,61.1,65.4,80.4,86.8,85,60
Moldova,2013,55.5,40,29,N/A,87.2,50.1,N/A,69.7,40.9,73.4,80,35,50
Montenegro,2013,62.6,40,40,N/A,92.4,41.5,N/A,72.7,71.4,79.9,83,55,50
Netherlands,2013,73.5,90,89,N/A,52.1,24.7,N/A,83,58.6,81.1,86.8,90,80
North Macedonia,2013,68.2,35,39,N/A,91.4,69.1,N/A,80.3,78.4,84,84.6,60,60
Norway,2013,70.5,90,90,N/A,51,40.3,N/A,92.6,44.7,76.9,89.3,70,60
Poland,2013,66,60,55,N/A,76,43,N/A,64,62.9,77.7,86.8,65,70
Portugal,2013,63.1,70,61,N/A,61.6,28.3,N/A,82.8,31,79.4,86.8,70,60
Romania,2013,65.1,40,36,N/A,87.9,62.2,N/A,70.4,63.5,74.7,86.8,80,50
Russia,2013,51.1,25,24,N/A,86.9,54.4,N/A,69.2,52.6,66.7,77.4,25,30
Serbia ,2013,58.6,40,33,N/A,84.2,40.3,N/A,60.2,70.4,65.3,77.9,65,50
Slovak Republic,2013,68.7,50,40,N/A,84.7,58,N/A,71,72.2,79.1,86.8,75,70
Slovenia,2013,61.7,60,59,N/A,65.7,22.3,N/A,80.7,40.4,81.6,86.8,70,50
Spain,2013,68,70,62,N/A,53.9,43,N/A,80.3,54.3,79.9,86.8,80,70
Sweden,2013,72.9,90,93,N/A,39.6,21,N/A,93.2,53.6,82.1,86.8,90,80
Switzerland,2013,81,90,88,N/A,68.1,63.8,N/A,75.8,87.9,86.2,90,80,80
Turkey,2013,62.9,50,42,N/A,77,64.9,N/A,68.2,43.1,73.3,85.2,65,60
Ukraine,2013,46.3,30,23,N/A,78.2,29.4,N/A,47.6,49.9,71,84.4,20,30
United Kingdom,2013,74.8,90,78,N/A,57,27.7,N/A,94.1,71.6,72.4,86.8,90,80
Albania,2012,65.1,35,33,N/A,91.4,69.5,N/A,78.2,51,78.6,79.8,65,70
Armenia,2012,68.8,30,26,N/A,89.3,74.9,N/A,87.8,76.6,73.1,85.4,75,70
Austria,2012,70.3,90,79,N/A,50.5,15.4,N/A,70.3,78.1,82.2,87.2,80,70
Azerbaijan,2012,58.9,20,24,N/A,84.9,63.7,N/A,68.6,81.6,74.5,77.2,55,40
Belarus,2012,49,20,25,N/A,86.6,34.9,N/A,71.3,77,65.3,80.4,20,10
Belgium,2012,69,80,71,N/A,44.8,12.1,N/A,92.3,71.3,81.2,87.1,80,70
Bosnia and Herzegovina,2012,57.3,20,32,N/A,84.3,24.4,N/A,55.2,60.4,80.7,86,70,60
Bulgaria,2012,64.7,30,36,N/A,93.6,50.3,N/A,72.7,84.2,77.8,87.1,55,60
Croatia,2012,60.9,40,41,N/A,76.4,45,N/A,63.4,44.4,81.4,87.5,70,60
Cyprus,2012,71.8,70,63,N/A,83.3,37.1,N/A,81.6,69.9,85.7,82.1,75,70
Czech Republic,2012,69.9,70,46,N/A,82,36.8,N/A,67.7,77.9,81.5,87.1,70,80
Denmark,2012,76.2,90,93,N/A,39.8,0,N/A,99.1,92.1,80.7,87.1,90,90
Estonia,2012,73.2,80,65,N/A,79.1,38.8,N/A,75.7,56.9,79.3,87.1,90,80
Finland,2012,72.3,90,92,N/A,65.4,5.2,N/A,94.9,42.4,81.3,87.1,85,80
France,2012,63.2,80,68,N/A,53.8,5.3,N/A,83.7,51.6,82.3,82.1,55,70
Georgia,2012,69.4,40,38,N/A,87.8,55.8,N/A,86.9,92.1,74.4,89.2,70,60
Germany,2012,71,90,79,N/A,61.3,32.2,N/A,90.5,41.4,83.5,87.1,85,60
Greece,2012,55.4,50,35,N/A,65.3,16.2,N/A,76.3,36.6,72.6,82.1,60,60
Hungary,2012,67.1,70,47,N/A,78.6,24.4,N/A,79.8,67.6,76.1,87.1,70,70
Iceland,2012,70.9,90,85,N/A,73.5,21.8,N/A,92,60.9,72.5,88.2,65,60
Ireland,2012,76.9,90,80,N/A,73.9,30.4,N/A,92.8,78.4,76.7,87.1,90,70
Italy,2012,58.8,50,39,N/A,55,19.4,N/A,77.4,43,82,87.1,75,60
Kosovo,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Latvia,2012,65.2,50,43,N/A,84.3,43.8,N/A,75.9,59.1,79.1,87.1,80,50
Liechtenstein,2012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2012,71.5,60,50,N/A,93.6,41.7,N/A,79.2,64.6,79.3,87.1,80,80
Luxembourg,2012,74.5,90,85,N/A,63.6,46.6,N/A,75.9,40.9,81.3,87.1,95,80
Malta,2012,67,70,56,N/A,67.8,43.8,N/A,70,60,80.5,87.1,75,60
Moldova,2012,54.4,40,29,N/A,86.5,38.7,N/A,70,41.7,74.4,79,35,50
Montenegro,2012,62.5,40,37,N/A,91.3,31.7,N/A,69.2,86.1,81.2,83.6,55,50
Netherlands,2012,73.3,90,88,N/A,51.2,20.9,N/A,81.9,60,83.6,87.1,90,80
North Macedonia,2012,68.5,35,41,N/A,91.2,66.7,N/A,80.9,80.3,86.1,83.6,60,60
Norway,2012,68.8,90,86,N/A,52.5,35.3,N/A,88.4,46.3,75.1,89.3,65,60
Poland,2012,64.2,60,53,N/A,74.4,40.3,N/A,61.4,61.3,79.1,87.1,65,60
Portugal,2012,63,70,60,N/A,59,25.5,N/A,83,32.5,82.6,87.1,70,60
Romania,2012,64.4,40,37,N/A,87.4,55.1,N/A,70.5,62.6,74.3,87.1,80,50
Russia,2012,50.5,25,21,N/A,82.5,48.6,N/A,65.1,63.5,66.3,68.2,25,40
Serbia ,2012,58,40,35,N/A,84.1,39.3,N/A,56.5,68.7,68,77.9,60,50
Slovak Republic,2012,67,50,43,N/A,84.2,48.2,N/A,71,58.1,83.5,87.1,75,70
Slovenia,2012,62.9,60,64,N/A,64.8,27.9,N/A,81.4,42.2,81.2,87.1,70,50
Spain,2012,69.1,70,61,N/A,61.3,37.1,N/A,81.3,51.8,81.5,87.1,80,80
Sweden,2012,71.7,90,92,N/A,39.1,8.8,N/A,94.6,54.6,80.9,87.1,90,80
Switzerland,2012,81.1,90,87,N/A,67.9,65.8,N/A,77.9,87.9,84.4,90,80,80
Turkey,2012,62.5,50,44,N/A,77.7,58.5,N/A,67.1,40,71.9,85.4,70,60
Ukraine,2012,46.1,30,24,N/A,78.2,29.4,N/A,46.2,51.2,67.7,84.4,20,30
United Kingdom,2012,74.1,90,76,N/A,56.4,21.5,N/A,94.7,71.5,73.9,87.1,90,80
Albania,2011,64,35,32,N/A,92.1,68.7,N/A,67.1,50.4,79.9,79.8,65,70
Armenia,2011,69.7,30,27,N/A,89.2,85.7,N/A,82.4,75.9,76,85.5,75,70
Austria,2011,71.9,90,79,N/A,50.3,28,N/A,72.8,78.2,82.9,87.6,80,70
Azerbaijan,2011,59.7,20,23,N/A,83.9,71,N/A,72.9,81.1,72.6,77.1,55,40
Belarus,2011,47.9,20,24,N/A,83.6,26.2,N/A,70.6,82.3,62.2,80.3,20,10
Belgium,2011,70.2,80,71,N/A,41.8,25,N/A,92.6,71,82.5,87.6,80,70
Bosnia and Herzegovina,2011,57.5,20,30,N/A,83.9,24.1,N/A,60.4,60.2,80.6,86,70,60
Bulgaria,2011,64.9,30,38,N/A,86.9,58.3,N/A,75.8,82,75.5,87.6,55,60
Croatia,2011,61.1,40,41,N/A,74.6,50.3,N/A,65.2,44.1,78.5,87.6,70,60
