Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Estonia,2000,69.9,70,57,N/A,72.5,25,N/A,85,N/A,74.9,85,90,70
Finland,2000,64.3,90,96,N/A,37.2,0,N/A,70,N/A,87.8,78,70,50
France,2000,57.4,70,67,N/A,35.1,12.5,N/A,70,N/A,83.9,77.8,50,50
Georgia,2000,54.3,30,10,N/A,90.8,86.8,N/A,55,N/A,67.5,69,50,30
Germany,2000,65.7,90,79,N/A,38.6,28,N/A,70,N/A,88.1,78,70,50
Greece,2000,61,70,49,N/A,52.2,54.4,N/A,70,N/A,75.5,77.8,70,30
Hungary,2000,64.4,70,50,N/A,63.9,39.3,N/A,70,N/A,69.6,76.6,70,70
Iceland,2000,74,90,93,N/A,64.8,58.9,N/A,70,N/A,86.6,82.4,70,50
Ireland,2000,76.1,90,82,N/A,60.6,63.3,N/A,85,N/A,85.8,78,70,70
Italy,2000,61.9,70,46,N/A,45.6,22,N/A,70,N/A,85.7,77.8,70,70
Latvia,2000,63.4,50,27,N/A,76.8,47.1,N/A,70,N/A,78.5,81,70,70
Liechtenstein,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2000,61.9,50,30,N/A,70.5,63.3,N/A,70,N/A,72.3,81,70,50
Luxembourg,2000,76.4,90,87,N/A,51.3,67.3,N/A,85,N/A,88.3,79,70,70
Malta,2000,58.3,70,30,N/A,64.1,36.5,N/A,70,N/A,72.9,61,70,50
Moldova,2000,59.6,50,30,N/A,55.8,85.5,N/A,70,N/A,69.9,75,50,50
Montenegro,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,2000,70.4,90,90,N/A,36.9,28,N/A,70,N/A,80.9,77.8,70,90
North Macedonia,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,2000,70.1,90,90,N/A,57.3,41.9,N/A,70,N/A,80.4,81,70,50
Poland,2000,60,70,46,N/A,58.1,33.7,N/A,70,N/A,66.9,74.8,70,50
Portugal,2000,65.5,70,65,N/A,60.4,41.9,N/A,70,N/A,84.8,77.8,70,50
Romania,2000,52.1,30,30,N/A,58.3,63.3,N/A,55,N/A,38.1,74,70,50
Russia,2000,51.8,50,24,N/A,74.6,73,N/A,55,N/A,57.5,52.4,50,30
Serbia ,2000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,2000,53.8,50,39,N/A,54.8,25,N/A,70,N/A,73.9,71.2,50,50
Slovenia,2000,58.3,70,50,N/A,52.9,36.5,N/A,70,N/A,71.9,73.6,50,50
Spain,2000,65.9,70,61,N/A,45.8,47.1,N/A,70,N/A,81,77.8,70,70
Sweden,2000,65.1,70,95,N/A,34.1,0,N/A,70,N/A,94.2,83,70,70
Switzerland,2000,76.8,90,89,N/A,80.7,28,N/A,70,N/A,92.2,81,70,90
Turkey,2000,63.4,70,34,N/A,67.2,82.7,N/A,70,N/A,31.8,75,70,70
Ukraine,2000,47.8,30,28,N/A,62.3,41.9,N/A,55,N/A,63,70,50,30
United Kingdom,2000,77.3,90,87,N/A,62.5,49.6,N/A,85,N/A,83.6,77.8,70,90
Albania,1999,53.4,30,10,N/A,82.9,72.5,N/A,70,N/A,57.8,57.8,70,30
Armenia,1999,56.4,50,30,N/A,80.3,82.1,N/A,55,N/A,55.5,75,30,50
Austria,1999,64,90,76,N/A,45.5,3.2,N/A,70,N/A,87.2,63.6,70,70
Azerbaijan,1999,47.4,30,30,N/A,71.6,87.5,N/A,55,N/A,37.8,55,30,30
Belarus,1999,35.4,30,10,N/A,44.9,45.3,N/A,55,N/A,15.9,57.6,30,30
Belgium,1999,62.9,90,53,N/A,33.5,15.7,N/A,70,N/A,86.7,77.8,70,70
Bosnia and Herzegovina,1999,29.4,10,10,N/A,78.8,16.7,N/A,40,N/A,0,69.4,30,10
Bulgaria,1999,46.2,50,30,N/A,68,46.3,N/A,55,N/A,0,46.8,70,50
Croatia,1999,53.1,30,50,N/A,68.4,38.4,N/A,55,N/A,72.1,63.8,50,50
Cyprus,1999,67.8,70,50,N/A,71.2,62.4,N/A,85,N/A,78.4,72.8,50,70
Czech Republic,1999,69.7,70,52,N/A,59.2,44.8,N/A,85,N/A,76.4,79.8,70,90
Denmark,1999,68.1,90,99,N/A,30.3,0,N/A,85,N/A,90.7,77.8,70,70
Estonia,1999,73.8,70,70,N/A,72.8,50.8,N/A,85,N/A,70.2,85,90,70
Finland,1999,63.9,90,95,N/A,38.4,0,N/A,70,N/A,88.6,73.2,70,50
France,1999,59.1,70,67,N/A,42.4,7.6,N/A,85,N/A,82.4,77.8,50,50
Georgia,1999,52.5,30,10,N/A,91.3,86.6,N/A,55,N/A,50.9,69,50,30
Germany,1999,65.6,90,82,N/A,38.3,24.1,N/A,70,N/A,86.6,79.4,70,50
Greece,1999,61,70,54,N/A,47.6,55.8,N/A,70,N/A,73.9,77.8,70,30
Hungary,1999,59.6,70,52,N/A,62.6,12.8,N/A,70,N/A,66.3,63.2,70,70
Iceland,1999,71.4,90,90,N/A,60.5,43.5,N/A,70,N/A,86.4,81.8,70,50
Ireland,1999,74.6,90,83,N/A,55.9,53,N/A,85,N/A,87.1,77.8,70,70
Italy,1999,61.6,70,50,N/A,46.9,15.1,N/A,70,N/A,84.5,77.8,70,70
Latvia,1999,64.2,50,30,N/A,77.1,56.7,N/A,70,N/A,72.9,81,70,70
Liechtenstein,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1999,61.5,50,30,N/A,72.4,64.9,N/A,70,N/A,65.1,81,70,50
Luxembourg,1999,72.4,90,86,N/A,46.5,37.9,N/A,85,N/A,87.4,79,70,70
Malta,1999,59.3,70,30,N/A,67.5,41.9,N/A,70,N/A,73.3,61,70,50
Moldova,1999,56.1,50,30,N/A,58.5,55.1,N/A,70,N/A,65.9,75,50,50
Montenegro,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,1999,70.2,90,90,N/A,37.1,26.2,N/A,70,N/A,80.7,77.8,70,90
North Macedonia,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,1999,68.6,90,89,N/A,57.9,27.4,N/A,70,N/A,80.5,82.4,70,50
Poland,1999,59.6,70,51,N/A,53.2,36,N/A,70,N/A,63.6,73,70,50
Portugal,1999,65.6,70,70,N/A,60.6,37.1,N/A,70,N/A,84.8,77.8,70,50
Romania,1999,50.1,30,34,N/A,45,65.1,N/A,55,N/A,27,74,70,50
Russia,1999,54.5,50,23,N/A,74.3,65.3,N/A,55,N/A,50.3,53.2,50,70
Serbia ,1999,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,1999,54.2,50,50,N/A,53,17.6,N/A,70,N/A,74,73,50,50
Slovenia,1999,61.3,70,50,N/A,52.4,39.5,N/A,70,N/A,70.8,59,70,70
Spain,1999,65.1,70,59,N/A,46.5,42.7,N/A,70,N/A,79.7,77.8,70,70
Sweden,1999,64.2,70,94,N/A,35.4,0,N/A,70,N/A,89.3,79.4,70,70
Switzerland,1999,79.1,90,86,N/A,80.4,54.4,N/A,70,N/A,89.7,81.6,70,90
Turkey,1999,59.2,70,32,N/A,57,57.1,N/A,70,N/A,31.8,74.4,70,70
Ukraine,1999,43.7,30,30,N/A,63,43,N/A,55,N/A,39.3,53,50,30
United Kingdom,1999,76.2,90,82,N/A,62.3,44.5,N/A,85,N/A,84.1,77.8,70,90
Albania,1998,53.9,30,10,N/A,82.1,66.5,N/A,70,N/A,67.7,59,70,30
Armenia,1998,49.6,50,30,N/A,80.9,75.1,N/A,55,N/A,0,75,30,50
Austria,1998,65.4,90,76,N/A,46.5,1.5,N/A,70,N/A,86,78.4,70,70
Azerbaijan,1998,43.1,30,30,N/A,70.3,87.9,N/A,55,N/A,0,55,30,30
Belarus,1998,38,30,10,N/A,43.4,44.5,N/A,55,N/A,0,79,30,50
Belgium,1998,64.7,90,68,N/A,33.7,16.4,N/A,70,N/A,86.1,77.8,70,70
Bosnia and Herzegovina,1998,29.4,10,10,N/A,78.8,16.7,N/A,40,N/A,0,69.4,30,10
Bulgaria,1998,45.7,50,30,N/A,53.5,48.8,N/A,55,N/A,25.2,49,50,50
Croatia,1998,51.7,30,50,N/A,68.3,39.5,N/A,55,N/A,61.8,60.8,50,50
Cyprus,1998,68.2,50,50,N/A,71.1,67.7,N/A,85,N/A,78.9,71.2,70,70
Czech Republic,1998,68.4,70,54,N/A,54.7,39.3,N/A,85,N/A,75.9,77.4,70,90
Denmark,1998,67.5,90,93,N/A,30.6,0,N/A,85,N/A,90.8,77.8,70,70
Estonia,1998,72.5,70,70,N/A,72.2,50.1,N/A,85,N/A,62.3,83,90,70
Finland,1998,63.5,90,91,N/A,38.5,0,N/A,70,N/A,89.5,73.2,70,50
France,1998,58.9,70,70,N/A,38.2,8.6,N/A,85,N/A,81.2,77.8,50,50
Georgia,1998,47.9,30,10,N/A,91.7,95.5,N/A,55,N/A,0,69,50,30
Germany,1998,64.3,90,83,N/A,37.8,26.8,N/A,55,N/A,87,79.4,70,50
Greece,1998,60.6,70,50,N/A,53.3,52.5,N/A,70,N/A,71.4,77.8,70,30
Hungary,1998,56.9,70,49,N/A,55.7,2.9,N/A,70,N/A,63.8,61,70,70
Iceland,1998,71.2,90,90,N/A,61.2,42.4,N/A,70,N/A,85.8,81.2,70,50
Ireland,1998,73.7,90,85,N/A,51.8,48.3,N/A,85,N/A,86.1,77.8,70,70
Italy,1998,59.1,70,34,N/A,43.3,14.5,N/A,70,N/A,81.9,77.8,70,70
Latvia,1998,63.4,50,30,N/A,77.5,56.2,N/A,70,N/A,66,81,70,70
Liechtenstein,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1998,59.4,50,30,N/A,70.7,59.4,N/A,70,N/A,53.9,81,70,50
Luxembourg,1998,72.7,90,90,N/A,45.6,37.9,N/A,85,N/A,87,79,70,70
Malta,1998,61.2,70,30,N/A,66.6,49.6,N/A,70,N/A,74.6,70.4,70,50
Moldova,1998,53.5,50,30,N/A,57.7,52.7,N/A,70,N/A,46.3,75,50,50
Montenegro,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,1998,69.2,90,87,N/A,36.2,20.7,N/A,70,N/A,80.8,77.8,70,90
North Macedonia,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,1998,68,90,89,N/A,57.9,20.1,N/A,70,N/A,82,83,70,50
Poland,1998,59.2,70,56,N/A,51.6,33.2,N/A,70,N/A,59.6,73,70,50
Portugal,1998,65,70,65,N/A,59.8,39.3,N/A,70,N/A,83.1,77.8,70,50
Romania,1998,54.4,30,50,N/A,43.9,64.3,N/A,55,N/A,52.1,74,70,50
Russia,1998,52.8,50,26,N/A,74.2,67.3,N/A,55,N/A,24.3,58.6,50,70
Serbia ,1998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,1998,57.5,50,50,N/A,66.4,35.4,N/A,70,N/A,72.7,73,50,50
Slovenia,1998,60.7,70,50,N/A,51.8,37.3,N/A,70,N/A,68.4,59,70,70
Spain,1998,62.6,70,43,N/A,46.3,39.3,N/A,70,N/A,77.4,77.8,70,70
Sweden,1998,64,70,91,N/A,37.3,0,N/A,70,N/A,88.3,79.4,70,70
Switzerland,1998,79,90,88,N/A,77.4,56.2,N/A,70,N/A,88.5,81.6,70,90
Turkey,1998,60.9,70,35,N/A,58.4,68.5,N/A,70,N/A,31.8,73.8,70,70
Ukraine,1998,40.4,30,30,N/A,64.4,51,N/A,55,N/A,0,53,50,30
United Kingdom,1998,76.5,90,90,N/A,60.8,40.3,N/A,85,N/A,84.7,77.8,70,90
Albania,1997,54.8,50,10,N/A,81.5,60.3,N/A,70,N/A,62.9,59,70,30
Armenia,1997,46.7,50,30,N/A,80.7,41.7,N/A,55,N/A,0,83,30,50
Austria,1997,65.2,90,71,N/A,46.1,1.2,N/A,70,N/A,84.8,63.6,70,90
Azerbaijan,1997,34,30,10,N/A,54.6,61.6,N/A,55,N/A,0,55,10,30
Belarus,1997,39.8,50,10,N/A,38,32.9,N/A,70,N/A,0,77.2,30,50
Belgium,1997,64.6,90,69,N/A,33.7,14.8,N/A,70,N/A,86.4,77.8,70,70
Bosnia and Herzegovina,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bulgaria,1997,47.6,50,30,N/A,48.9,37.3,N/A,55,N/A,36.5,71,50,50
Croatia,1997,46.7,30,50,N/A,74.4,50.5,N/A,55,N/A,0,60.8,50,50
Cyprus,1997,67.9,50,50,N/A,71.3,67.9,N/A,85,N/A,78.5,68.4,70,70
Czech Republic,1997,68.8,70,50,N/A,53.7,35.4,N/A,100,N/A,74.4,76,70,90
Denmark,1997,67.5,90,93,N/A,30.6,0,N/A,85,N/A,91,77.8,70,70
Estonia,1997,69.1,70,50,N/A,71.4,55.5,N/A,85,N/A,55.5,74,90,70
Finland,1997,65.2,90,91,N/A,54.9,0,N/A,70,N/A,83.3,77.8,70,50
France,1997,59.1,70,70,N/A,38.1,9.6,N/A,85,N/A,81.5,77.8,50,50
Georgia,1997,46.5,30,10,N/A,92,82.3,N/A,55,N/A,0,69,50,30
Germany,1997,67.5,90,81,N/A,37.8,28,N/A,70,N/A,85.6,75,70,70
Greece,1997,59.6,70,40,N/A,54,54.4,N/A,70,N/A,70.1,77.8,70,30
Hungary,1997,55.3,70,41,N/A,54.4,0,N/A,70,N/A,63,59,70,70
Iceland,1997,70.5,90,90,N/A,61.6,40.6,N/A,70,N/A,81.3,80.8,70,50
Ireland,1997,72.6,90,84,N/A,49.9,41.1,N/A,85,N/A,85.2,77.8,70,70
Italy,1997,58.1,70,30,N/A,43.2,10.6,N/A,70,N/A,81.1,77.8,70,70
Latvia,1997,62.4,50,30,N/A,78,56.2,N/A,85,N/A,57.4,65,70,70
Liechtenstein,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1997,57.3,50,30,N/A,75.6,58,N/A,70,N/A,33,79,70,50
Luxembourg,1997,72.8,90,90,N/A,45.2,40.6,N/A,85,N/A,85.8,79,70,70
Malta,1997,57.9,50,30,N/A,68.4,47.8,N/A,70,N/A,72.3,62.6,70,50
Moldova,1997,48.9,50,30,N/A,59,45.6,N/A,70,N/A,10.4,75,50,50
Montenegro,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,1997,70.4,90,87,N/A,34.1,14.1,N/A,85,N/A,85.4,77.8,70,90
North Macedonia,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,1997,65.1,90,86,N/A,58,12.2,N/A,70,N/A,80.6,69,70,50
Poland,1997,56.8,70,70,N/A,49.5,26.8,N/A,70,N/A,55.2,49.6,70,50
Portugal,1997,63.6,70,56,N/A,61,36.5,N/A,70,N/A,81.4,77.8,70,50
Romania,1997,50.8,30,30,N/A,44.3,65.5,N/A,55,N/A,39.1,73,70,50
Russia,1997,48.6,50,30,N/A,77.7,58.5,N/A,55,N/A,0,46,50,70
Serbia ,1997,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,1997,55.5,50,50,N/A,66.4,22,N/A,70,N/A,68.1,73,50,50
Slovenia,1997,55.6,50,50,N/A,51.4,36.2,N/A,70,N/A,64,59,50,70
Spain,1997,59.6,70,44,N/A,45.8,32.9,N/A,70,N/A,76.3,77.8,70,50
Sweden,1997,63.3,70,89,N/A,39.5,0,N/A,70,N/A,84.8,77,70,70
Switzerland,1997,78.6,90,88,N/A,77.7,54.4,N/A,70,N/A,86.7,80.6,70,90
Turkey,1997,60.8,70,41,N/A,57.3,61.8,N/A,70,N/A,29.8,77.8,70,70
Ukraine,1997,43.5,50,30,N/A,61.1,49.1,N/A,55,N/A,0,66,50,30
United Kingdom,1997,76.4,90,90,N/A,61.7,39.3,N/A,85,N/A,84,77.8,70,90
Albania,1996,53.8,50,10,N/A,81.7,51,N/A,70,N/A,42.6,59,70,50
Armenia,1996,42.2,50,50,N/A,75.8,0,N/A,55,N/A,0,69,30,50
Austria,1996,68.9,90,90,N/A,45.9,0,N/A,70,N/A,83.6,81,70,90
Azerbaijan,1996,30,30,10,N/A,46.3,48.8,N/A,40,N/A,0,55,10,30
Belarus,1996,38.7,50,10,N/A,38,0,N/A,70,N/A,0,60,50,70
Belgium,1996,66,90,90,N/A,33.9,7.3,N/A,70,N/A,85,77.8,70,70
Bosnia and Herzegovina,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bulgaria,1996,48.6,50,30,N/A,50.6,30.6,N/A,55,N/A,30,71,70,50
Croatia,1996,48,50,30,N/A,77.4,50.5,N/A,55,N/A,0,69,50,50
Cyprus,1996,67.7,50,50,N/A,71.9,67.9,N/A,85,N/A,76,68.4,70,70
Czech Republic,1996,68.1,70,50,N/A,47.5,38.2,N/A,100,N/A,72.5,75,70,90
Denmark,1996,67.3,90,90,N/A,31.5,0,N/A,85,N/A,91.4,77.8,70,70
Estonia,1996,65.4,70,50,N/A,73.2,59.2,N/A,85,N/A,17.3,74,90,70
Finland,1996,63.7,90,90,N/A,58.4,0,N/A,55,N/A,82.3,77.8,70,50
France,1996,63.7,70,90,N/A,60.6,8.3,N/A,85,N/A,81.4,77.8,50,50
Georgia,1996,44.1,30,10,N/A,92,61.3,N/A,55,N/A,0,69,50,30
Germany,1996,69.1,90,90,N/A,44,27.1,N/A,70,N/A,83.5,77.8,70,70
Greece,1996,60.5,70,50,N/A,58,50.5,N/A,70,N/A,67.9,77.8,70,30
Hungary,1996,56.8,70,50,N/A,55.8,0,N/A,70,N/A,66.6,59,70,70
Iceland,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,1996,68.5,90,50,N/A,49.1,39,N/A,85,N/A,85.6,77.8,70,70
Italy,1996,60.8,70,90,N/A,42.2,0.1,N/A,70,N/A,77,77.8,70,50
Latvia,1996,55,50,50,N/A,78,50.8,N/A,70,N/A,41.1,55,50,50
Liechtenstein,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1996,49.7,50,30,N/A,76.6,62.4,N/A,70,N/A,12.9,65,50,30
Luxembourg,1996,72.5,90,90,N/A,46.6,37.1,N/A,85,N/A,84.7,79,70,70
Malta,1996,55.8,50,10,N/A,67.7,50.8,N/A,70,N/A,72.5,61,70,50
Moldova,1996,52.5,50,30,N/A,75.1,72.1,N/A,70,N/A,0,75,50,50
Montenegro,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,1996,69.7,90,90,N/A,33.8,6.6,N/A,85,N/A,84.4,77.8,70,90
North Macedonia,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,1996,65.4,90,90,N/A,58.9,8.9,N/A,70,N/A,81.7,69,70,50
Poland,1996,57.8,70,70,N/A,48,32.6,N/A,70,N/A,52.4,57,70,50
Portugal,1996,64.5,70,70,N/A,61.5,31.5,N/A,70,N/A,79.7,77.8,70,50
Romania,1996,46.2,30,30,N/A,42.4,64.9,N/A,55,N/A,11.9,61.6,70,50
Russia,1996,51.6,50,30,N/A,75.5,66.5,N/A,70,N/A,0,52,70,50
Serbia ,1996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,1996,57.6,50,50,N/A,66.4,22,N/A,70,N/A,65.1,75,70,50
Slovenia,1996,50.4,30,30,N/A,69.3,34.6,N/A,70,N/A,60.5,59,30,70
Spain,1996,59.6,70,50,N/A,45.8,26.8,N/A,70,N/A,76.2,77.8,70,50
Sweden,1996,61.8,70,90,N/A,45.2,0,N/A,70,N/A,84.5,77,70,50
Switzerland,1996,76.8,70,90,N/A,78,53.4,N/A,70,N/A,91.6,78,90,70
Turkey,1996,56.7,70,10,N/A,44.3,57.1,N/A,85,N/A,28.9,75,70,70
Ukraine,1996,40.6,30,30,N/A,57.7,47.1,N/A,55,N/A,0,66,50,30
United Kingdom,1996,76.4,90,90,N/A,62.1,37.3,N/A,85,N/A,85.2,77.8,70,90
Albania,1995,49.7,50,10,N/A,81.7,34.3,N/A,70,N/A,22.1,59,70,50
Armenia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Austria,1995,70,90,90,N/A,46.3,9.6,N/A,70,N/A,82.9,81,70,90
Azerbaijan,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Belarus,1995,40.4,50,10,N/A,42,31.5,N/A,70,N/A,0,60,50,50
Belgium,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bosnia and Herzegovina,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bulgaria,1995,50,50,30,N/A,46,50.5,N/A,55,N/A,26.3,72.4,70,50
Croatia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cyprus,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Czech Republic,1995,67.8,70,50,N/A,46.7,38.2,N/A,100,N/A,69.2,76,70,90
Denmark,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,1995,65.2,70,50,N/A,82,63.3,N/A,85,N/A,0,77,90,70
Finland,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
France,1995,64.4,70,90,N/A,60.8,15.7,N/A,85,N/A,80.5,77.8,50,50
Georgia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Germany,1995,69.8,90,90,N/A,33.2,30.6,N/A,85,N/A,81.6,77.8,70,70
Greece,1995,61.2,70,50,N/A,62.5,55.3,N/A,70,N/A,65.3,77.8,70,30
Hungary,1995,55.2,70,50,N/A,46.8,0,N/A,85,N/A,64.2,61,70,50
Iceland,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,1995,68.5,90,50,N/A,49.1,38.7,N/A,85,N/A,86.1,77.8,70,70
Italy,1995,61.2,70,70,N/A,43.6,3.6,N/A,85,N/A,81.1,77.8,70,50
Latvia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liechtenstein,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Luxembourg,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Malta,1995,56.3,50,10,N/A,68.2,51.8,N/A,70,N/A,73.4,63.6,70,50
Moldova,1995,33,50,10,N/A,37.3,72.1,N/A,70,N/A,0,17.6,30,10
Montenegro,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Netherlands,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Macedonia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Norway,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Poland,1995,50.7,50,50,N/A,51,9.6,N/A,70,N/A,48.7,57,70,50
Portugal,1995,62.4,70,70,N/A,60.5,36,N/A,70,N/A,77.7,77.8,50,50
Romania,1995,42.9,30,10,N/A,39.4,52.2,N/A,55,N/A,0,79,70,50
Russia,1995,51.1,50,10,N/A,75.5,67.1,N/A,85,N/A,0,52,70,50
Serbia ,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Slovak Republic,1995,60.4,70,50,N/A,57.7,22.3,N/A,85,N/A,63.3,75,70,50
Slovenia,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spain,1995,62.8,70,50,N/A,45.2,36.8,N/A,70,N/A,75.8,77.8,70,70
Sweden,1995,61.4,70,90,N/A,44,0,N/A,70,N/A,81.5,77,70,50
Switzerland,1995,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Turkey,1995,58.4,70,10,N/A,44.5,63.3,N/A,85,N/A,38.2,74.8,70,70
Ukraine,1995,39.9,30,10,N/A,61.8,47.1,N/A,55,N/A,0,55,50,50
United Kingdom,1995,77.9,90,90,N/A,61.3,37.3,N/A,100,N/A,85,77.8,70,90
